"state","lga","itn_campaign_net_quantity","itn_campaign_bale_quantity","itn_routine_net_quantity","intervention","total_cost","target_value","target"
"Benue","Ado",180956.277715682,3619.12555431363,26833.0777731427,"vacc",253871330.905812,10423.0815964233,"Population"
"Benue","Ado",180956.277715682,3619.12555431363,26833.0777731427,"cm_public",121271838.322977,325721.299888227,"Population"
"Benue","Ado",180956.277715682,3619.12555431363,26833.0777731427,"itn_campaign",1414006830.57255,325721.299888227,"Population"
"Benue","Ado",180956.277715682,3619.12555431363,26833.0777731427,"itn_routine",201381175.364325,76218.7841738451,"Population"
"Benue","Ado",180956.277715682,3619.12555431363,26833.0777731427,"smc",243898358.278596,56936.0832204621,"Population"
"Benue","Ado",180956.277715682,3619.12555431363,26833.0777731427,"pmc",136333907.281217,26057.7039910582,"Population"
"Benue","Ado",180956.277715682,3619.12555431363,26833.0777731427,"iptp",26517809.54811,16286.0649944114,"Population"
"Benue","Ado",180956.277715682,3619.12555431363,26833.0777731427,"cm_private",NA,325721.299888227,"Population"
"Benue","Agatu",113444.960573026,2268.89921146051,16822.1710153099,"vacc",159156805.659335,6534.42972900629,"Population"
"Benue","Agatu",113444.960573026,2268.89921146051,16822.1710153099,"cm_public",76027640.9906295,204200.929031446,"Population"
"Benue","Agatu",113444.960573026,2268.89921146051,16822.1710153099,"itn_campaign",886467997.514467,204200.929031446,"Population"
"Benue","Agatu",113444.960573026,2268.89921146051,16822.1710153099,"itn_routine",126249720.58306,47783.0173933585,"Population"
"Benue","Agatu",113444.960573026,2268.89921146051,16822.1710153099,"smc",152904557.874552,35694.3223946968,"Population"
"Benue","Agatu",113444.960573026,2268.89921146051,16822.1710153099,"pmc",85470340.8554021,16336.0743225157,"Population"
"Benue","Agatu",113444.960573026,2268.89921146051,16822.1710153099,"iptp",16624523.3193568,10210.0464515723,"Population"
"Benue","Agatu",113444.960573026,2268.89921146051,16822.1710153099,"cm_private",NA,204200.929031446,"Population"
"Benue","Apa",94978.2717912872,1899.56543582574,14083.840505045,"vacc",133249095.147023,5470.74845517815,"Population"
"Benue","Apa",94978.2717912872,1899.56543582574,14083.840505045,"cm_public",63651782.4430835,170960.889224317,"Population"
"Benue","Apa",94978.2717912872,1899.56543582574,14083.840505045,"itn_campaign",742167814.038862,170960.889224317,"Population"
"Benue","Apa",94978.2717912872,1899.56543582574,14083.840505045,"itn_routine",105698659.636743,40004.8480784902,"Population"
"Benue","Apa",94978.2717912872,1899.56543582574,14083.840505045,"smc",128014594.765428,29883.9634364107,"Population"
"Benue","Apa",94978.2717912872,1899.56543582574,14083.840505045,"pmc",71557389.7937303,13676.8711379454,"Population"
"Benue","Apa",94978.2717912872,1899.56543582574,14083.840505045,"iptp",13918366.1067965,8548.04446121586,"Population"
"Benue","Apa",94978.2717912872,1899.56543582574,14083.840505045,"cm_private",NA,170960.889224317,"Population"
"Benue","Buruku",202375.948723293,4047.51897446587,30009.2908632761,"vacc",283921906.961598,11656.8546464617,"Population"
"Benue","Buruku",202375.948723293,4047.51897446587,30009.2908632761,"cm_public",135626703.001658,364276.707701928,"Population"
"Benue","Buruku",202375.948723293,4047.51897446587,30009.2908632761,"itn_campaign",1581381853.39971,364276.707701928,"Population"
"Benue","Buruku",202375.948723293,4047.51897446587,30009.2908632761,"itn_routine",225218527.557253,85240.7496022511,"Population"
"Benue","Buruku",202375.948723293,4047.51897446587,30009.2908632761,"smc",272768440.375623,63675.568506297,"Population"
"Benue","Buruku",202375.948723293,4047.51897446587,30009.2908632761,"pmc",152471658.775719,29142.1366161542,"Population"
"Benue","Buruku",202375.948723293,4047.51897446587,30009.2908632761,"iptp",29656704.5537615,18213.8353850964,"Population"
"Benue","Buruku",202375.948723293,4047.51897446587,30009.2908632761,"cm_private",NA,364276.707701928,"Population"
"Benue","Gboko",354598.306003171,7091.96612006342,52581.563034567,"vacc",497481187.270079,20424.8624257826,"Population"
