"intervention","state","lga","total_cost","target_value","state_count","lga_count","intervention_type","title","currency","target","cost_per_target"
"cb","Abia","Aba North",11992032,NA,NA,NA,"Support Services","Capacity Building","Naira","Population",NA
"cb","Abia","Aba North",7495.02,NA,NA,NA,"Support Services","Capacity Building","USD","Population",NA
"gc","Abia","Aba North",1440000,NA,NA,NA,"Support Services","Governance & Coordination","Naira","Population",NA
"gc","Abia","Aba North",900,NA,NA,NA,"Support Services","Governance & Coordination","USD","Population",NA
"me","Abia","Aba North",4681778,NA,NA,NA,"Support Services","Monitoring & Evaluation","Naira","Population",NA
"me","Abia","Aba North",2926.11125,NA,NA,NA,"Support Services","Monitoring & Evaluation","USD","Population",NA
"rm","Abia","Aba North",NA,NA,NA,NA,"Support Services","Resource Mobilisation","Naira","Population",NA
"rm","Abia","Aba North",NA,NA,NA,NA,"Support Services","Resource Mobilisation","USD","Population",NA
"ss_sbc","Abia","Aba North",20353723.4405181,NA,NA,NA,"Support Services","Social Behaviour Change","Naira","Population",NA
"ss_sbc","Abia","Aba North",12721.0771503238,NA,NA,NA,"Support Services","Social Behaviour Change","USD","Population",NA
"cb","Abia","Aba South",21485724,NA,NA,NA,"Support Services","Capacity Building","Naira","Population",NA
"cb","Abia","Aba South",13428.5775,NA,NA,NA,"Support Services","Capacity Building","USD","Population",NA
"gc","Abia","Aba South",1440000,NA,NA,NA,"Support Services","Governance & Coordination","Naira","Population",NA
"gc","Abia","Aba South",900,NA,NA,NA,"Support Services","Governance & Coordination","USD","Population",NA
"me","Abia","Aba South",4681778,NA,NA,NA,"Support Services","Monitoring & Evaluation","Naira","Population",NA
"me","Abia","Aba South",2926.11125,NA,NA,NA,"Support Services","Monitoring & Evaluation","USD","Population",NA
"rm","Abia","Aba South",NA,NA,NA,NA,"Support Services","Resource Mobilisation","Naira","Population",NA
"rm","Abia","Aba South",NA,NA,NA,NA,"Support Services","Resource Mobilisation","USD","Population",NA
"ss_sbc","Abia","Aba South",20353723.4405181,NA,NA,NA,"Support Services","Social Behaviour Change","Naira","Population",NA
"ss_sbc","Abia","Aba South",12721.0771503238,NA,NA,NA,"Support Services","Social Behaviour Change","USD","Population",NA
"cb","Abia","Arochukwu",20486388,NA,NA,NA,"Support Services","Capacity Building","Naira","Population",NA
"cb","Abia","Arochukwu",12803.9925,NA,NA,NA,"Support Services","Capacity Building","USD","Population",NA
"gc","Abia","Arochukwu",1440000,NA,NA,NA,"Support Services","Governance & Coordination","Naira","Population",NA
"gc","Abia","Arochukwu",900,NA,NA,NA,"Support Services","Governance & Coordination","USD","Population",NA
"me","Abia","Arochukwu",4681778,NA,NA,NA,"Support Services","Monitoring & Evaluation","Naira","Population",NA
"me","Abia","Arochukwu",2926.11125,NA,NA,NA,"Support Services","Monitoring & Evaluation","USD","Population",NA
"rm","Abia","Arochukwu",NA,NA,NA,NA,"Support Services","Resource Mobilisation","Naira","Population",NA
"rm","Abia","Arochukwu",NA,NA,NA,NA,"Support Services","Resource Mobilisation","USD","Population",NA
"ss_sbc","Abia","Arochukwu",18657579.8204749,NA,NA,NA,"Support Services","Social Behaviour Change","Naira","Population",NA
"ss_sbc","Abia","Arochukwu",11660.9873877968,NA,NA,NA,"Support Services","Social Behaviour Change","USD","Population",NA
