"state","lga","code_cm_public","code_iptp","code_smc","code_pmc","code_vacc","code_irs","code_lsm","code_itn_campaign","code_itn_routine","code_itn_urban","code_cm_private"
"Benue","Ado",1,1,0,1,1,0,1,0,1,0,1
"Benue","Agatu",1,1,1,0,1,0,1,0,1,0,1
"Benue","Apa",1,1,1,0,1,0,1,0,1,0,1
"Benue","Buruku",1,1,0,1,1,0,1,0,1,0,1
"Benue","Gboko",1,1,0,1,1,0,1,0,1,0,1
"Benue","Guma",1,1,1,0,1,0,1,0,1,0,1
"Benue","Gwer East",1,1,0,1,1,0,1,0,1,0,1
"Benue","Gwer West",1,1,1,0,1,0,1,0,1,0,1
"Benue","Katsina Ala",1,1,0,1,1,0,1,0,1,0,1
"Benue","Konshisha",1,1,0,1,1,0,1,0,1,0,1
"Benue","Kwande",1,1,0,1,1,0,1,0,1,0,1
"Benue","Logo",1,1,1,0,1,0,1,0,1,0,1
"Benue","Makurdi",1,1,1,0,1,0,1,0,1,0,1
"Benue","Obi",1,1,0,1,1,0,1,0,1,0,1
"Benue","Ogbadibo",1,1,0,1,1,0,1,0,1,0,1
"Benue","Ohimini",1,1,0,1,1,0,1,0,1,0,1
"Benue","Oju",1,1,0,1,1,0,1,0,1,0,1
"Benue","Okpokwu",1,1,0,1,1,0,1,0,1,0,1
"Benue","Oturkpo",1,1,0,1,1,0,1,0,1,0,1
"Benue","Tarka",1,1,1,0,1,0,1,0,1,0,1
"Benue","Ukum",1,1,1,0,1,0,1,0,1,0,1
"Benue","Ushongo",1,1,0,1,1,0,1,0,1,0,1
"Benue","Vandeikya",1,1,0,1,1,0,1,0,1,0,1
"Federal Capital Territory","Abaji",1,1,1,0,1,0,1,0,1,1,1
"Federal Capital Territory","Abuja Municipal",1,1,1,0,1,0,1,0,1,1,1
"Federal Capital Territory","Bwari",1,1,1,0,1,0,1,0,1,1,1
"Federal Capital Territory","Gwagwalada",1,1,1,0,1,0,1,0,1,1,1
"Federal Capital Territory","Kuje",1,1,1,0,1,0,1,0,1,1,1
"Federal Capital Territory","Kwali",1,1,1,0,1,0,1,0,1,0,1
"Kogi","Adavi",1,1,1,0,1,0,1,0,1,0,1
"Kogi","Ajaokuta",1,1,1,0,1,0,1,0,1,0,1
"Kogi","Ankpa",1,1,0,1,1,0,1,0,1,0,1
"Kogi","Bassa",1,1,1,0,1,0,1,0,1,0,1
"Kogi","Dekina",1,1,1,0,1,0,1,0,1,0,1
"Kogi","Ibaji",1,1,0,1,1,0,1,0,1,0,1
"Kogi","Idah",1,1,0,1,1,0,1,0,1,0,1
"Kogi","Igalamela Odolu",1,1,0,1,1,0,1,0,1,0,1
"Kogi","Ijumu",1,1,0,1,1,0,1,0,1,0,1
"Kogi","Kabba/Bunu",1,1,0,1,1,0,1,0,1,0,1
"Kogi","Kogi",1,1,1,0,1,0,1,0,1,0,1
