country,state,lga,pop,urb_pop
Nigeria,Abia,Aba North,187043.4779521227,187043.4779521227
Nigeria,Abia,Aba South,353370.5438361764,353370.5438361764
Nigeria,Borno,Abadam,111874.48672068119,0
Nigeria,Federal Capital Territory,Abaji,152482.7880230546,0
Nigeria,Akwa Ibom,Abak,175562.24543857574,168953.63933873177
Nigeria,Ebonyi,Abakaliki,307621.06337058544,259853.58534264565
Nigeria,Ogun,Abeokuta North,297253.5492039919,260435.25387603045
Nigeria,Ogun,Abeokuta South,434453.98921340704,434453.98921340704
Nigeria,Cross River,Abi,67336.27333837748,28554.062905430794
Nigeria,Imo,Aboh Mbaise,286831.66384607553,284226.122448504
Nigeria,Rivers,Abua/Odual,48731.445953547955,0
Nigeria,Federal Capital Territory,Abuja Municipal,2495569.541722119,2320833.641744733
Nigeria,Kogi,Adavi,189848.41348588467,149611.20876562595
Nigeria,Benue,Ado,184562.22810679674,46471.994309186935
Nigeria,Ogun,Ado Odo/Ota,1798390.1341209412,1737934.9548356533
Nigeria,Ekiti,Ado Ekiti,531191.6561851501,513693.07621234655
Nigeria,Oyo,Afijio,140168.85517287254,110233.49772721529
Nigeria,Ebonyi,Afikpo North,175998.43647503853,85318.55015724897
Nigeria,Ebonyi,Afikpo South,91185.43543577194,68195.73669654131
Nigeria,Niger,Agaie,227583.4068825245,0
Nigeria,Benue,Agatu,120714.58066546917,0
Nigeria,Lagos,Agege,171689.22974944115,171689.22974944115
Nigeria,Anambra,Aguata,487916.5929826498,485521.9024517536
Nigeria,Niger,Agwara,145964.81840008497,0
Nigeria,Imo,Ahiazu Mbaise,210885.4412319064,210212.1150972247
Nigeria,Rivers,Ahoada East,129878.35984098911,61248.71343153715
Nigeria,Rivers,Ahoada West,70680.26680153608,0
Nigeria,Osun,Aiyedade,167399.5227957368,77343.68085300922
Nigeria,Osun,Aiyedire,72689.94274675846,48902.820796489716
Nigeria,Ekiti,Aiyekire (Gboyin),54193.95141398907,0
Nigeria,Kogi,Ajaokuta,118391.4255285263,34934.85810017586
Nigeria,Lagos,Ajeromi Ifelodun,204441.70770776272,204441.70770776272
Nigeria,Kano,Ajingi,316702.6841830611,174286.72507095337
Nigeria,Cross River,Akamkpa,80736.51562476158,0
Nigeria,Oyo,Akinyele,477695.7874664068,420575.533880353
Nigeria,Gombe,Akko,975868.3899985552,546447.4331560135
Nigeria,Edo,Akoko Edo,162147.32391798496,0
Nigeria,Ondo,Akoko North East,108888.51424139738,91326.89932882786
Nigeria,Ondo,Akoko North West,122481.69599723816,37918.751074016094
Nigeria,Ondo,Akoko South East,44711.65559011698,0
Nigeria,Ondo,Akoko South West,143521.1997910738,113286.03604209423
Nigeria,Cross River,Akpabuyo,83077.47676840425,0
Nigeria,Rivers,Akuku Toru,28401.521805167198,0
Nigeria,Ondo,Akure North,231766.03898012638,146961.7230244875
Nigeria,Ondo,Akure South,628420.2871301174,618107.8852572441
Nigeria,Nasarawa,Akwanga,219741.2703679204,88313.97874766588
Nigeria,Kano,Albasu,306177.79479545355,241055.84833800793
Nigeria,Kebbi,Aleiro,89811.9797976613,7111.246518313885
Nigeria,Lagos,Alimosho,2025317.987502575,2024526.0323572755
Nigeria,Bauchi,Alkaleri,417559.36526858807,62677.45229250193
Nigeria,Lagos,Amuwo Odofin,434966.6474175453,425140.6149607897
Nigeria,Anambra,Anambra East,111937.99561101198,62141.82718223333
Nigeria,Anambra,Anambra West,48564.30489820242,0
Nigeria,Anambra,Anaocha,270400.1091632843,270371.7421056032
Nigeria,Rivers,Andoni,52598.96889394522,0
Nigeria,Enugu,Aninri,168675.94371306896,111118.89892065525
Nigeria,Delta,Aniocha North,92273.62505805492,0
Nigeria,Delta,Aniocha South,196560.45053792,93756.09814751148
Nigeria,Zamfara,Anka,196695.80010461807,0
Nigeria,Kogi,Ankpa,461897.16316205263,202719.1000378132
Nigeria,Benue,Apa,134999.5800588131,0
Nigeria,Lagos,Apapa,109875.11409115791,109769.32401967049
Nigeria,Taraba,Ardo Kola,346656.2046599388,5533.551561713219
Nigeria,Kebbi,Arewa Dandi,272460.6166470051,0
Nigeria,Kebbi,Argungu,279267.0585770011,121628.51619553566
Nigeria,Abia,Arochukwu,126261.68987190723,67686.76101398468
Nigeria,Kwara,Asa,267409.8942440152,131103.71689522266
Nigeria,Rivers,Asari Toru,28542.731284081936,0
Nigeria,Borno,Askira/Uba,283839.9099920392,62666.66016942263
Nigeria,Osun,Atakumosa East,70622.21693009138,0
Nigeria,Osun,Atakumosa West,78203.83844798803,15825.952039361
Nigeria,Oyo,Atiba,178458.7459771037,135412.43012684584
Nigeria,Oyo,Atigbo,139007.4353812933,0
Nigeria,Kebbi,Augie,144927.8872550726,12785.715336084366
Nigeria,Jigawa,Auyo,143716.89390558004,31460.69787657261
Nigeria,Nasarawa,Awe,284461.0647250414,0
Nigeria,Enugu,Awgu,216777.06397151947,174501.57097500563
Nigeria,Anambra,Awka North,93417.76283061504,44743.348196566105
Nigeria,Anambra,Awka South,383043.76574373245,373503.0977406502
Nigeria,Anambra,Ayamelum,44556.16720545292,0
Nigeria,Jigawa,Babura,278047.8253645301,0
Nigeria,Lagos,Badagry,597992.624344796,513408.56838935614
Nigeria,Yobe,Bade,214511.08616161346,147238.39515542984
Nigeria,Kebbi,Bagudo,440794.67372727394,0
Nigeria,Kano,Bagwai,355248.5678336024,332817.7851769328
Nigeria,Cross River,Bakassi,19.562761545181274,0
Nigeria,Katsina,Bakori,349520.3579108119,207942.26131010056
Nigeria,Zamfara,Bakura,215932.10813713074,0
Nigeria,Gombe,Balanga,302746.7606831193,0
Nigeria,Taraba,Bali,575032.0372155309,0
Nigeria,Borno,Bama,250612.54612863064,105698.97480678558
Nigeria,Plateau,Barikin Ladi,274623.0388547182,10602.840328216553
Nigeria,Kwara,Baruten,613337.9627107382,0
Nigeria,Kogi,Bassa,112871.5494647026,0
Nigeria,Plateau,Bassa,342994.857698977,96758.16984933615
Nigeria,Katsina,Batagarawa,323876.6812353134,207105.19918203354
Nigeria,Katsina,Batsari,283795.14210247993,0
Nigeria,Bauchi,Bauchi,1356867.7007657886,885100.2203289866
Nigeria,Katsina,Baure,262711.668633461,0
Nigeria,Borno,Bayo,172135.29684448242,0
Nigeria,Kano,Bebeji,381234.6273943186,96856.74181997776
Nigeria,Cross River,Bekwara,107537.34433728456,68252.27482300997
Nigeria,Abia,Bende,192928.84738183022,6167.258159458637
Nigeria,Cross River,Biase,69382.00732415915,0
Nigeria,Kano,Bichi,521398.9501007199,449495.9021072984
Nigeria,Niger,Bida,203358.71028345823,202176.44274693727
Nigeria,Gombe,Billiri,235963.10633260012,109462.88093215227
Nigeria,Katsina,Bindawa,238844.11821848154,156454.95186018944
Nigeria,Sokoto,Binji,122609.02386295795,0
Nigeria,Jigawa,Biriniwa,201155.4730103016,0
Nigeria,Jigawa,Birnin Kudu,607357.1089670062,189321.9290124178
Nigeria,Kaduna,Birnin Gwari,494519.27620989084,67500.8508131504
Nigeria,Kebbi,Birnin Kebbi,507805.6902282238,294269.8783146143
Nigeria,Zamfara,Birnin Magaji,212726.44224494696,0
Nigeria,Borno,Biu,382053.0517870188,138381.5138477087
Nigeria,Sokoto,Bodinga,350858.41151863337,234458.35826915503
Nigeria,Bauchi,Bogoro,150822.76118683815,0
Nigeria,Cross River,Boki,137710.38053965569,0
Nigeria,Plateau,Bokkos,429084.79609012604,121038.06797426939
Nigeria,Osun,Boluwaduro,45397.70183068514,3459.218176007271
Nigeria,Delta,Bomadi,27678.083995461464,0
Nigeria,Rivers,Bonny,94575.71506100893,77977.35681724548
Nigeria,Niger,Borgu,666147.9911033511,76894.08356815577
Nigeria,Osun,Boripe,178363.50844472647,170448.13537925482
Nigeria,Niger,Bosso,534562.3405762315,271280.71121162176
Nigeria,Bayelsa,Brass,52968.16490089893,0
Nigeria,Jigawa,Buji,196326.8917759061,3475.3260593414307
Nigeria,Zamfara,Bukkuyum,315418.47005701065,0
Nigeria,Zamfara,Bungudu,481678.74178659916,56490.65669286251
Nigeria,Kano,Bunkure,291582.8797585666,249487.86981728673
Nigeria,Kebbi,Bunza,186144.85141003132,0
Nigeria,Yobe,Bursari,225728.9320729375,0
Nigeria,Benue,Buruku,405291.9798204303,279112.65086883307
Nigeria,Delta,Burutu,53681.194774627686,0
Nigeria,Federal Capital Territory,Bwari,815098.0866511464,710032.422313571
Nigeria,Cross River,Calabar Municipal,309301.7841463089,306255.7769139409
Nigeria,Cross River,Calabar South,155871.81593096256,154230.54658555984
Nigeria,Niger,Chanchaga,421978.65026545525,421609.81359380484
Nigeria,Katsina,Charanchi,226499.1620965004,66858.96241509914
Nigeria,Borno,Chibok,138661.20019853115,0
Nigeria,Kaduna,Chikun,1028657.4189174175,718671.2913009524
Nigeria,Kano,Dala,401989.8156479597,401989.8156479597
Nigeria,Yobe,Damaturu,374849.53456300497,280647.04620438814
Nigeria,Bauchi,Damban,198732.55470758677,0
Nigeria,Kano,Dambatta,463139.6121184826,186451.47029983997
Nigeria,Borno,Damboa,214654.4344831109,80202.16641920805
Nigeria,Katsina,Dan Musa,197446.9280294776,0
Nigeria,Kebbi,Dandi,240584.28745806217,65825.98598694801
Nigeria,Katsina,Dandume,249698.67242753506,121520.49678075314
Nigeria,Sokoto,Dange Shuni,485540.10736471415,355203.4217938781
Nigeria,Katsina,Danja,262713.6682190299,184871.61192017794
Nigeria,Bauchi,Darazo,429197.8358389139,61102.48728513718
Nigeria,Bauchi,Dass,106912.51789826155,0
Nigeria,Katsina,Daura,179011.9652004838,149462.91134035587
Nigeria,Kano,Dawakin Kudu,352131.4166199267,289131.0446494818
Nigeria,Kano,Dawakin Tofa,470468.6300956607,444447.9282604456
Nigeria,Rivers,Degema,41893.847860753536,572.8045766353607
Nigeria,Kogi,Dekina,571899.6126016974,156438.67673063278
Nigeria,Adamawa,Demsa,160874.0774693489,19706.550999462605
Nigeria,Borno,Dikwa,128721.26640546322,0
Nigeria,Kano,Doguwa,307289.1638261676,0
Nigeria,Nasarawa,Doma,195261.09231165051,73067.07651787996
Nigeria,Taraba,Donga,325006.09363377094,0
Nigeria,Gombe,Dukku,345416.24411934614,0
Nigeria,Anambra,Dunukofia,105947.75901198387,84592.61001974344
Nigeria,Jigawa,Dutse,443607.1388011575,256683.12294620275
Nigeria,Katsina,Dutsi,129741.62977200747,48892.21208721399
Nigeria,Katsina,Dutsin Ma,279292.4187223911,114257.67459458113
Nigeria,Akwa Ibom,Eastern Obolo,19293.98403340578,0
Nigeria,Ebonyi,Ebonyi,343129.56691515446,305053.544716239
Nigeria,Niger,Edati,97059.47570484877,0
Nigeria,Osun,Ede North,294592.78102630377,290414.74963867664
Nigeria,Osun,Ede South,66360.4030405879,40177.64935165644
Nigeria,Kwara,Edu,253056.57098835707,0
Nigeria,Ekiti,Efon Alayee,43761.94321513176,0
Nigeria,Ogun,Yewa North,304309.9666080475,0
Nigeria,Ogun,Yewa South,243513.86189961433,182945.75562429428
Nigeria,Oyo,Egbeda,541654.2841344476,518536.2936144471
Nigeria,Osun,Egbedore,253691.49420762062,222308.61121433973
Nigeria,Edo,Egor,409458.19765770435,408869.75012147427
Nigeria,Imo,Ehime Mbano,182978.58389133215,176175.86278527975
Nigeria,Osun,Ejigbo,152390.3335980773,83371.36807763577
Nigeria,Bayelsa,Ekeremor,96338.04607468843,0
Nigeria,Akwa Ibom,Eket,181476.60623967648,177096.98119175434
Nigeria,Kwara,Ekiti,44600.983327805996,0
Nigeria,Ekiti,Ekiti East,82352.22572976351,0
Nigeria,Ekiti,Ekiti South West,79901.63109838963,0
Nigeria,Ekiti,Ekiti West,79915.81404131651,0
Nigeria,Anambra,Ekwusigo,235509.43477153778,232828.61046648026
Nigeria,Rivers,Eleme,239932.39493346214,235942.74916994572
Nigeria,Rivers,Emohua,187704.2530553341,28163.031463503838
Nigeria,Ekiti,Emure,27216.300256848335,0
Nigeria,Enugu,Enugu East,382332.6427422166,351890.1890773177
Nigeria,Enugu,Enugu North,332167.4407135844,331163.10321092606
Nigeria,Enugu,Enugu South,241881.5938117504,240438.88711369038
