state,pop,urb_pop
Abia,3433889.804325521,2653482.8609361053
Adamawa,5016056.81567435,1346390.6602199078
Akwa Ibom,3282278.0118821263,2490029.1946486235
Anambra,5043436.98845768,4693433.482363462
Bauchi,8328535.847214758,1544351.9238504767
Bayelsa,1075708.9155374765,475338.04605335
Benue,10244401.232118964,5943237.08469069
Borno,5941836.179255068,2192396.7860314846
Cross River,2040249.5039791763,785561.7577707767
Delta,3964895.1065668464,2291700.170421183
Ebonyi,3115077.006004095,2403157.418259144
Edo,3883663.408788085,2503922.4381707907
Ekiti,1659265.584403038,642474.4638391733
Enugu,4426590.68334043,3523344.6432065964
Federal Capital Territory,4514561.191406488,3591177.4356425405
Gombe,4157266.170355797,1371446.7161514163
Imo,5782775.951426625,5213033.4090640545
Jigawa,6091080.184076548,1046331.478260994
Kaduna,10791794.173218966,4335487.408967674
Kano,17574657.231811732,13800277.159732357
Katsina,9413932.697760701,3307289.5376918316
Kebbi,5438675.044912994,982966.6003035903
Kogi,3770602.954071939,1327019.6998066306
Kwara,4688376.883502543,2334811.6649223566
Lagos,9737480.863553673,9424839.205170333
Nasarawa,4747494.797369242,2211116.9226801395
Niger,10389820.066505253,2150019.1610496044
Ogun,7933314.7307040095,6619014.203583598
Ondo,3330141.87586385,1810841.013330996
Osun,4626785.0991835,3481723.589921236
Oyo,6955966.735423863,5161441.177403808
Plateau,7041067.105766892,2828192.0426821113
Rivers,5100990.847373068,3944894.373036325
Sokoto,7158493.608710825,2614351.619855523
Taraba,5844601.208392441,1209592.0670699477
Yobe,4839565.9321449995,1218882.117230773
Zamfara,5029966.8107043505,966353.168438971
