"state","lga","intervention","intervention_mix_to_show","intervention_summary","plan","plan_description"
"Benue","Ado","cm_public","CM","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Ado","iptp","IPTp","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Ado","pmc","PMC","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Ado","vacc","Vaccine","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Ado","lsm","LSM","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Ado","itn_routine","ITN Routine","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Ado","cm_private","CM_PRIVATE","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Agatu","cm_public","CM","CM + IPTp + SMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Agatu","iptp","IPTp","CM + IPTp + SMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Agatu","smc","SMC","CM + IPTp + SMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Agatu","vacc","Vaccine","CM + IPTp + SMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Agatu","lsm","LSM","CM + IPTp + SMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Agatu","itn_routine","ITN Routine","CM + IPTp + SMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Agatu","cm_private","CM_PRIVATE","CM + IPTp + SMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Apa","cm_public","CM","CM + IPTp + SMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Apa","iptp","IPTp","CM + IPTp + SMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Apa","smc","SMC","CM + IPTp + SMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Apa","vacc","Vaccine","CM + IPTp + SMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Apa","lsm","LSM","CM + IPTp + SMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Apa","itn_routine","ITN Routine","CM + IPTp + SMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Apa","cm_private","CM_PRIVATE","CM + IPTp + SMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Buruku","cm_public","CM","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Buruku","iptp","IPTp","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Buruku","pmc","PMC","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Buruku","vacc","Vaccine","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Buruku","lsm","LSM","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Buruku","itn_routine","ITN Routine","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Buruku","cm_private","CM_PRIVATE","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Gboko","cm_public","CM","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Gboko","iptp","IPTp","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Gboko","pmc","PMC","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Gboko","vacc","Vaccine","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Gboko","lsm","LSM","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Gboko","itn_routine","ITN Routine","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Gboko","cm_private","CM_PRIVATE","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Guma","cm_public","CM","CM + IPTp + SMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Guma","iptp","IPTp","CM + IPTp + SMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Guma","smc","SMC","CM + IPTp + SMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Guma","vacc","Vaccine","CM + IPTp + SMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Guma","lsm","LSM","CM + IPTp + SMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Guma","itn_routine","ITN Routine","CM + IPTp + SMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Guma","cm_private","CM_PRIVATE","CM + IPTp + SMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Gwer East","cm_public","CM","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Gwer East","iptp","IPTp","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Gwer East","pmc","PMC","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Gwer East","vacc","Vaccine","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Gwer East","lsm","LSM","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Gwer East","itn_routine","ITN Routine","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Gwer East","cm_private","CM_PRIVATE","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Gwer West","cm_public","CM","CM + IPTp + SMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Gwer West","iptp","IPTp","CM + IPTp + SMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Gwer West","smc","SMC","CM + IPTp + SMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Gwer West","vacc","Vaccine","CM + IPTp + SMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Gwer West","lsm","LSM","CM + IPTp + SMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Gwer West","itn_routine","ITN Routine","CM + IPTp + SMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Gwer West","cm_private","CM_PRIVATE","CM + IPTp + SMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Katsina Ala","cm_public","CM","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Katsina Ala","iptp","IPTp","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Katsina Ala","pmc","PMC","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Katsina Ala","vacc","Vaccine","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Katsina Ala","lsm","LSM","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Katsina Ala","itn_routine","ITN Routine","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Katsina Ala","cm_private","CM_PRIVATE","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Konshisha","cm_public","CM","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Konshisha","iptp","IPTp","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Konshisha","pmc","PMC","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Konshisha","vacc","Vaccine","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Konshisha","lsm","LSM","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Konshisha","itn_routine","ITN Routine","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Konshisha","cm_private","CM_PRIVATE","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Kwande","cm_public","CM","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Kwande","iptp","IPTp","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Kwande","pmc","PMC","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Kwande","vacc","Vaccine","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Kwande","lsm","LSM","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Kwande","itn_routine","ITN Routine","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Kwande","cm_private","CM_PRIVATE","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Logo","cm_public","CM","CM + IPTp + SMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Logo","iptp","IPTp","CM + IPTp + SMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Logo","smc","SMC","CM + IPTp + SMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Logo","vacc","Vaccine","CM + IPTp + SMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
