state,lga,pop_2025_projected,pop_number_children_u5,prev_u5_dhs_2021,percentage_urban_pop,chemoprevention_split,code_cm_public,code_iptp,code_smc,code_pmc,code_vacc,code_irs,code_lsm,code_itn_campaign,code_itn_routine,code_itn_urban,code_cm_private
Benue,Ado,325721,59933,33.8,25,PMC,1,1,0,1,1,1,1,0,1,0,1
Benue,Agatu,204201,37573,33.8,0,SMC,1,1,1,0,1,1,1,0,1,0,1
Benue,Apa,170961,31457,33.8,0,SMC,1,1,1,0,1,1,1,0,1,0,1
Benue,Buruku,364277,67027,33.8,69,PMC,1,1,0,1,1,1,1,0,1,0,1
Benue,Gboko,638277,117443,33.8,78,PMC,1,1,0,1,1,1,1,0,1,0,1
Benue,Guma,342989,63110,33.8,29,SMC,1,1,1,0,1,1,1,0,1,0,1
Benue,Gwer East,297936,54820,33.8,18,PMC,1,1,0,1,1,1,1,0,1,0,1
Benue,Gwer West,216065,39756,33.8,35,SMC,1,1,1,0,1,1,1,0,1,0,1
Benue,Katsina Ala,398292,73286,33.8,45,PMC,1,1,0,1,1,1,1,0,1,0,1
Benue,Konshisha,400096,73618,33.8,57,PMC,1,1,0,1,1,1,1,0,1,0,1
Benue,Kwande,439224,80817,33.8,63,PMC,1,1,0,1,1,1,1,0,1,0,1
Benue,Logo,299544,55116,33.8,43,SMC,1,1,1,0,1,1,1,0,1,0,1
Benue,Makurdi,530613,97633,33.8,95,SMC,1,1,1,0,1,1,1,0,1,0,1
Benue,Obi,174365,32083,33.8,0,PMC,1,1,0,1,1,1,1,0,1,0,1
Benue,Ogbadibo,231389,42576,33.8,73,PMC,1,1,0,1,1,1,1,0,1,0,1
Benue,Ohimini,124870,22976,33.8,3,PMC,1,1,0,1,1,1,1,0,1,0,1
Benue,Oju,297638,54765,33.8,34,PMC,1,1,0,1,1,1,1,0,1,0,1
Benue,Okpokwu,310189,57075,33.8,0,PMC,1,1,0,1,1,1,1,0,1,0,1
Benue,Oturkpo,470612,86593,33.8,47,PMC,1,1,0,1,1,1,1,0,1,0,1
Benue,Tarka,140047,25769,33.8,78,SMC,1,1,1,0,1,1,1,0,1,0,1
Benue,Ukum,383298,70527,33.8,83,SMC,1,1,1,0,1,1,1,0,1,0,1
Benue,Ushongo,339051,62385,33.8,55,PMC,1,1,0,1,1,1,1,0,1,0,1
Benue,Vandeikya,414360,76242,33.8,89,PMC,1,1,0,1,1,1,1,0,1,0,1
Federal Capital Territory,Abaji,316579,49703,34.6,0,SMC,1,1,1,0,1,1,1,1,1,1,1
Federal Capital Territory,Abuja Municipal,4190844,657963,34.6,93,SMC,1,1,1,0,1,1,1,1,1,1,1
Federal Capital Territory,Bwari,1237736,194324,34.6,87,SMC,1,1,1,0,1,1,1,1,1,1,1
Federal Capital Territory,Gwagwalada,856299,134439,34.6,73,SMC,1,1,1,0,1,1,1,1,1,1,1
Federal Capital Territory,Kuje,524912,82411,34.6,54,SMC,1,1,1,0,1,1,1,1,1,1,1
Federal Capital Territory,Kwali,465210,73038,34.6,12,SMC,1,1,1,0,1,1,1,1,1,0,1
Kogi,Adavi,383008,72006,27.7,79,SMC,1,1,1,0,1,1,1,1,1,0,1
Kogi,Ajaokuta,215876,40585,27.7,30,SMC,1,1,1,0,1,1,1,1,1,0,1
Kogi,Ankpa,469331,88234,27.7,44,PMC,1,1,0,1,1,1,1,1,1,0,1
Kogi,Bassa,246301,46305,27.7,0,SMC,1,1,1,0,1,1,1,1,1,0,1
Kogi,Dekina,460148,86508,27.7,27,SMC,1,1,1,0,1,1,1,1,1,0,1
Kogi,Ibaji,224939,42289,27.7,0,PMC,1,1,0,1,1,1,1,1,1,0,1
Kogi,Idah,140627,26438,27.7,90,PMC,1,1,0,1,1,1,1,1,1,0,1
Kogi,Igalamela Odolu,259280,48745,27.7,25,PMC,1,1,0,1,1,1,1,1,1,0,1
Kogi,Ijumu,209107,39312,27.7,0,PMC,1,1,0,1,1,1,1,1,1,0,1
Kogi,Kabba/Bunu,254927,47926,27.7,54,PMC,1,1,0,1,1,1,1,1,1,0,1
Kogi,Kogi,202948,38154,27.7,0,SMC,1,1,1,0,1,1,1,1,1,0,1
Kogi,Lokoja,346728,65185,27.7,64,SMC,1,1,1,0,1,1,1,1,1,0,1
Kogi,Mopa Muro,77159,14506,27.7,0,PMC,1,1,0,1,1,1,1,1,1,0,1
Kogi,Ofu,337624,63473,27.7,0,PMC,1,1,0,1,1,1,1,1,1,0,1
Kogi,Ogori/Mangongo,70189,13196,27.7,0,PMC,1,1,0,1,1,1,1,1,1,0,1
Kogi,Okehi,394214,74112,27.7,82,SMC,1,1,1,0,1,1,1,1,1,0,1
Kogi,Okene,574150,107940,27.7,97,PMC,1,1,0,1,1,1,1,1,1,0,1
Kogi,Olamabolo,279455,52538,27.7,29,PMC,1,1,0,1,1,1,1,1,1,0,1
Kogi,Omala,190373,35790,27.7,0,SMC,1,1,1,0,1,1,1,1,1,0,1
