"state","lga","full_name","value","intervention"
"Benue","Ado","vacc_procurement_cost",316861681.170122,"vacc"
"Benue","Ado","vacc_operational_cost",19803855.0731326,"vacc"
"Benue","Ado","cm_rdt_kits_procurement_cost",70921672.9935316,"cm_public"
"Benue","Ado","cm_al_procurement_cost",145343408.586427,"cm_public"
"Benue","Ado","cm_iv_artesunate_procurement_cost",23118273.2614317,"cm_public"
"Benue","Ado","cm_ras_prcurement_cost",405700.264563378,"cm_public"
"Benue","Ado","cm_rdt_kits_distribution_cost",17730418.2483829,"cm_public"
"Benue","Ado","cm_al_distribution_cost",36335852.1466067,"cm_public"
"Benue","Ado","cm_iv_artesunate_distribution_cost",5779568.31535792,"cm_public"
"Benue","Ado","cm_ras_distribution_cost",101425.066140845,"cm_public"
"Benue","Ado","iptp_sp_procurement_cost",31921181.6191346,"iptp"
"Benue","Ado","iptp_sp_distribution_cost",7980295.40478365,"iptp"
"Benue","Ado","itn_campaign_net_procurement_cost",1010635180.84084,"itn_campaign"
"Benue","Ado","itn_campaign_net_distribution_procurement_cost",36191255.5431363,"itn_campaign"
"Benue","Ado","itn_campaign_campaign_cost",105678466.185958,"itn_campaign"
"Benue","Ado","itn_routine_net_procurement_cost",149861904.489353,"itn_routine"
"Benue","Ado","itn_routine_net_operational_cost",37465476.1223383,"itn_routine"
"Benue","Ado","smc_spaq_total_procurement_cost",106839661.172409,"smc"
"Benue","Ado","smc_campaign_cost",121159985.093143,"smc"
"Benue","Ado","pmc_sp_procurement_cost",97776974.1282472,"pmc"
"Benue","Ado","pmc_distribution_cost",3387501.51883757,"pmc"
"Benue","Ado","cm_private_total_cost",408860179.65761,"cm_private"
"Benue","Agatu","vacc_procurement_cost",198646664.162302,"vacc"
"Benue","Agatu","vacc_operational_cost",12415416.5101438,"vacc"
"Benue","Agatu","cm_rdt_kits_procurement_cost",44462156.8153917,"cm_public"
"Benue","Agatu","cm_al_procurement_cost",91118569.9925981,"cm_public"
"Benue","Agatu","cm_iv_artesunate_procurement_cost",14493288.8306879,"cm_public"
