"state","lga","pop_2025_projected","pop_number_children_u5","prev_u5_dhs_2021","percentage_urban_pop","chemoprevention_split","intervention","intervention_mix_to_show","intervention_summary"
"Benue","Ado",325721.299888227,59932.7191794338,33.8398286,25,"PMC","cm_public","CM","CM + IPTp + PMC + Vaccine + LSM + ITN Routine"
"Benue","Ado",325721.299888227,59932.7191794338,33.8398286,25,"PMC","iptp","IPTp","CM + IPTp + PMC + Vaccine + LSM + ITN Routine"
"Benue","Ado",325721.299888227,59932.7191794338,33.8398286,25,"PMC","pmc","PMC","CM + IPTp + PMC + Vaccine + LSM + ITN Routine"
"Benue","Ado",325721.299888227,59932.7191794338,33.8398286,25,"PMC","vacc","Vaccine","CM + IPTp + PMC + Vaccine + LSM + ITN Routine"
"Benue","Ado",325721.299888227,59932.7191794338,33.8398286,25,"PMC","lsm","LSM","CM + IPTp + PMC + Vaccine + LSM + ITN Routine"
"Benue","Ado",325721.299888227,59932.7191794338,33.8398286,25,"PMC","itn_routine","ITN Routine","CM + IPTp + PMC + Vaccine + LSM + ITN Routine"
"Benue","Ado",325721.299888227,59932.7191794338,33.8398286,25,"PMC","cm_private","CM_PRIVATE","CM + IPTp + PMC + Vaccine + LSM + ITN Routine"
"Benue","Agatu",204200.929031446,37572.9709417861,33.8398286,0,"SMC","cm_public","CM","CM + IPTp + SMC + Vaccine + LSM + ITN Routine"
"Benue","Agatu",204200.929031446,37572.9709417861,33.8398286,0,"SMC","iptp","IPTp","CM + IPTp + SMC + Vaccine + LSM + ITN Routine"
"Benue","Agatu",204200.929031446,37572.9709417861,33.8398286,0,"SMC","smc","SMC","CM + IPTp + SMC + Vaccine + LSM + ITN Routine"
"Benue","Agatu",204200.929031446,37572.9709417861,33.8398286,0,"SMC","vacc","Vaccine","CM + IPTp + SMC + Vaccine + LSM + ITN Routine"
"Benue","Agatu",204200.929031446,37572.9709417861,33.8398286,0,"SMC","lsm","LSM","CM + IPTp + SMC + Vaccine + LSM + ITN Routine"
"Benue","Agatu",204200.929031446,37572.9709417861,33.8398286,0,"SMC","itn_routine","ITN Routine","CM + IPTp + SMC + Vaccine + LSM + ITN Routine"
"Benue","Agatu",204200.929031446,37572.9709417861,33.8398286,0,"SMC","cm_private","CM_PRIVATE","CM + IPTp + SMC + Vaccine + LSM + ITN Routine"
"Benue","Apa",170960.889224317,31456.8036172744,33.8398286,0,"SMC","cm_public","CM","CM + IPTp + SMC + Vaccine + LSM + ITN Routine"
"Benue","Apa",170960.889224317,31456.8036172744,33.8398286,0,"SMC","iptp","IPTp","CM + IPTp + SMC + Vaccine + LSM + ITN Routine"
"Benue","Apa",170960.889224317,31456.8036172744,33.8398286,0,"SMC","smc","SMC","CM + IPTp + SMC + Vaccine + LSM + ITN Routine"
"Benue","Apa",170960.889224317,31456.8036172744,33.8398286,0,"SMC","vacc","Vaccine","CM + IPTp + SMC + Vaccine + LSM + ITN Routine"
"Benue","Apa",170960.889224317,31456.8036172744,33.8398286,0,"SMC","lsm","LSM","CM + IPTp + SMC + Vaccine + LSM + ITN Routine"
"Benue","Apa",170960.889224317,31456.8036172744,33.8398286,0,"SMC","itn_routine","ITN Routine","CM + IPTp + SMC + Vaccine + LSM + ITN Routine"
