"state","lga","pop_2025_projected","currency","full_cost","cost_per_person"
"Benue","Ado",325721.299888227,"Naira",1412228290.26643,4335.6952423776
"Benue","Ado",325721.299888227,"USD",882642.681416521,2.709809526486
"Benue","Agatu",204200.929031446,"Naira",990251910.768363,4849.39963527722
"Benue","Agatu",204200.929031446,"USD",618907.444230227,3.03087477204826
"Benue","Apa",170960.889224317,"Naira",834824816.4011,4883.13333060481
"Benue","Apa",170960.889224317,"USD",521765.510250687,3.05195833162801
"Benue","Buruku",364276.707701928,"Naira",1584412380.89518,4349.47485632719
"Benue","Buruku",364276.707701928,"USD",990257.73805949,2.71842178520449
"Benue","Gboko",638276.950805708,"Naira",2750228226.87573,4308.83211966853
"Benue","Gboko",638276.950805708,"USD",1718892.64179733,2.69302007479283
"Benue","Guma",342988.738327654,"Naira",1622606195.42143,4730.78563259232
"Benue","Guma",342988.738327654,"USD",1014128.8721384,2.9567410203702
"Benue","Gwer East",297936.180787077,"Naira",1302335123.6587,4371.18821963226
"Benue","Gwer East",297936.180787077,"USD",813959.452286687,2.73199263727016
"Benue","Gwer West",216064.674971005,"Naira",1046389639.3078,4842.94639763867
"Benue","Gwer West",216064.674971005,"USD",653993.524567374,3.02684149852417
"Benue","Katsina Ala",398292.236560198,"Naira",1742658023.94135,4375.32511050579
"Benue","Katsina Ala",398292.236560198,"USD",1089161.26496334,2.73457819406612
"Benue","Konshisha",400095.822713309,"Naira",1736576061.98261,4340.40038260276
"Benue","Konshisha",400095.822713309,"USD",1085360.03873913,2.71275023912673
"Benue","Kwande",439223.57324357,"Naira",1905874669.23265,4339.19030155458
"Benue","Kwande",439223.57324357,"USD",1191171.6682704,2.71199393847161
"Benue","Logo",299543.68656507,"Naira",1419970839.06793,4740.44656173873
"Benue","Logo",299543.68656507,"USD",887481.774417457,2.96277910108671
"Benue","Makurdi",530612.926457251,"Naira",2484128044.69434,4681.61991695178
"Benue","Makurdi",530612.926457251,"USD",1552580.02793396,2.92601244809486
"Benue","Obi",174364.915195957,"Naira",785304198.975266,4503.79709755667
"Benue","Obi",174364.915195957,"USD",490815.124359541,2.81487318597292
"Benue","Ogbadibo",231388.974557913,"Naira",1025987316.26501,4434.03718014327
"Benue","Ogbadibo",231388.974557913,"USD",641242.072665633,2.77127323758955
"Benue","Ohimini",124869.635642576,"Naira",565878967.127741,4531.75797475297
"Benue","Ohimini",124869.635642576,"USD",353674.354454838,2.8323487342206
"Benue","Oju",297637.643999736,"Naira",1309781246.29825,4400.5900218032
"Benue","Oju",297637.643999736,"USD",818613.278936407,2.750368763627
"Benue","Okpokwu",310188.55449714,"Naira",1361607126.88957,4389.61111604176
"Benue","Okpokwu",310188.55449714,"USD",851004.454305983,2.7435069475261
"Benue","Oturkpo",470612.331671208,"Naira",2035856654.86605,4325.97388095727
"Benue","Oturkpo",470612.331671208,"USD",1272410.40929128,2.70373367559829
"Benue","Tarka",140047.316570612,"Naira",681726021.222047,4867.82637408351
"Benue","Tarka",140047.316570612,"USD",426078.76326378,3.04239148380219
"Benue","Ukum",383298.270578219,"Naira",1859356794.98265,4850.93969293872
"Benue","Ukum",383298.270578219,"USD",1162097.99686416,3.0318373080867
"Benue","Ushongo",339051.232416505,"Naira",1489127771.15606,4392.04352847405
"Benue","Ushongo",339051.232416505,"USD",930704.856972539,2.74502720529628
"Benue","Vandeikya",414360.228380661,"Naira",1789934730.42056,4319.75514980217
"Benue","Vandeikya",414360.228380661,"USD",1118709.20651285,2.69984696862636
"Federal Capital Territory","Abaji",316578.789401845,"Naira",1291830093.55311,4080.5958478581
"Federal Capital Territory","Abaji",316578.789401845,"USD",807393.808470694,2.55037240491131
"Federal Capital Territory","Abuja Municipal",4190844.12289952,"Naira",16612386202.9844,3963.97138996685
"Federal Capital Territory","Abuja Municipal",4190844.12289952,"USD",10382741.3768653,2.47748211872928
"Federal Capital Territory","Bwari",1237735.50290438,"Naira",4938232801.2668,3989.7318851072
"Federal Capital Territory","Bwari",1237735.50290438,"USD",3086395.50079175,2.493582428192
"Federal Capital Territory","Gwagwalada",856299.144253979,"Naira",3421339728.14817,3995.49590946852
"Federal Capital Territory","Gwagwalada",856299.144253979,"USD",2138337.33009261,2.49718494341783
"Federal Capital Territory","Kuje",524912.271578555,"Naira",2120094276.43158,4038.94972783905
"Federal Capital Territory","Kuje",524912.271578555,"USD",1325058.92276974,2.5243435798994
"Federal Capital Territory","Kwali",465210.269054851,"Naira",1884708464.82352,4051.30451796045
"Federal Capital Territory","Kwali",465210.269054851,"USD",1177942.7905147,2.53206532372528
"Kogi","Adavi",383008.230544648,"Naira",1910005883.38005,4986.85336517172
"Kogi","Adavi",383008.230544648,"USD",1193753.67711253,3.11678335323233
"Kogi","Ajaokuta",215876.436601045,"Naira",1099895061.97796,5095.02138953053
"Kogi","Ajaokuta",215876.436601045,"USD",687434.413736222,3.18438836845658
"Kogi","Ankpa",469330.946065732,"Naira",2171061496.38262,4625.8647859938
"Kogi","Ankpa",469330.946065732,"USD",1356913.43523914,2.89116549124612
"Kogi","Bassa",246301.0634433,"Naira",1258362021.95686,5109.0401493396
"Kogi","Bassa",246301.0634433,"USD",786476.263723038,3.19315009333725
"Kogi","Dekina",460148.016097927,"Naira",2317361323.52134,5036.12151405683
"Kogi","Dekina",460148.016097927,"USD",1448350.82720084,3.14757594628552
"Kogi","Ibaji",224939.466561589,"Naira",1061900405.77158,4720.82743861594
"Kogi","Ibaji",224939.466561589,"USD",663687.753607239,2.95051714913496
"Kogi","Idah",140626.839397513,"Naira",673271390.533021,4787.64504284897
"Kogi","Idah",140626.839397513,"USD",420794.619083138,2.9922781517806
"Kogi","Igalamela Odolu",259280.239229208,"Naira",1217415272.06864,4695.36465905688
"Kogi","Igalamela Odolu",259280.239229208,"USD",760884.545042897,2.93460291191055
"Kogi","Ijumu",209107.37589705,"Naira",984385311.250868,4707.55900899216
"Kogi","Ijumu",209107.37589705,"USD",615240.819531792,2.9422243806201
"Kogi","Kabba/Bunu",254926.811024425,"Naira",1193879481.9941,4683.22447998501
"Kogi","Kabba/Bunu",254926.811024425,"USD",746174.676246313,2.92701529999063
"Kogi","Kogi",202948.394641762,"Naira",1045085463.11632,5149.51332806093
"Kogi","Kogi",202948.394641762,"USD",653178.414447701,3.21844583003808
"Kogi","Lokoja",346727.898936056,"Naira",1744406570.968,5031.05338889879
"Kogi","Lokoja",346727.898936056,"USD",1090254.106855,3.14440836806174
"Kogi","Mopa Muro",77159.1811426891,"Naira",382627553.451564,4958.93745611398
"Kogi","Mopa Muro",77159.1811426891,"USD",239142.220907228,3.09933591007124
"Kogi","Ofu",337624.314561291,"Naira",1570478883.01167,4651.5574124226
"Kogi","Ofu",337624.314561291,"USD",981549.301882296,2.90722338276413
"Kogi","Ogori/Mangongo",70189.1116029942,"Naira",342872943.618116,4884.98765388974
"Kogi","Ogori/Mangongo",70189.1116029942,"USD",214295.589761322,3.05311728368109
"Kogi","Okehi",394213.591517266,"Naira",1963295962.3628,4980.2848116078
"Kogi","Okehi",394213.591517266,"USD",1227059.97647675,3.11267800725487
"Kogi","Okene",574150.00094209,"Naira",2615289969.94624,4555.06394784458
"Kogi","Okene",574150.00094209,"USD",1634556.2312164,2.84691496740286
"Kogi","Olamabolo",279455.178686124,"Naira",1309897076.97082,4687.32439716945
"Kogi","Olamabolo",279455.178686124,"USD",818685.673106761,2.92957774823091
"Kogi","Omala",190372.999762657,"Naira",975602853.820804,5124.69129045145
"Kogi","Omala",190372.999762657,"USD",609751.783638003,3.20293205653216
"Kogi","Yagba East",260325.837821932,"Naira",1318942057.17399,5066.50460902835
"Kogi","Yagba East",260325.837821932,"USD",824338.785733741,3.16656538064272
"Kogi","Yagba West",246726.003174913,"Naira",1250735313.09775,5069.32912219656
"Kogi","Yagba West",246726.003174913,"USD",781709.570686092,3.16833070137285
"Kwara","Asa",216998.702133772,"Naira",937851394.303776,4321.92167548368
"Kwara","Asa",216998.702133772,"USD",586157.12143986,2.7012010471773
