"state","lga","intervention","standardised_intervention","full_name","value","currency"
"Abia","Aba North","IPTp","iptp","IPTp SP Distribution",3268537.40774678,"Naira"
"Abia","Aba North","IPTp","iptp","IPTp SP Distribution",2042.83587984174,"USD"
"Abia","Aba North","IPTp","iptp","IPTp SP Procurement",13074149.6309871,"Naira"
"Abia","Aba North","IPTp","iptp","IPTp SP Procurement",8171.34351936694,"USD"
"Abia","Aba North","ITN Routine Urban","itn_routine","ITN Routine Net Operational",13253386.6507214,"Naira"
"Abia","Aba North","ITN Routine Urban","itn_routine","ITN Routine Net Operational",8283.36665670087,"USD"
"Abia","Aba North","ITN Routine Urban","itn_routine","ITN Routine Net Procurement",53013546.6028855,"Naira"
"Abia","Aba North","ITN Routine Urban","itn_routine","ITN Routine Net Procurement",33133.4666268034,"USD"
"Abia","Aba North","Malaria Vaccine","vacc","Malaria Vaccine Operational",7741894.63231858,"Naira"
"Abia","Aba North","Malaria Vaccine","vacc","Malaria Vaccine Operational",4838.68414519911,"USD"
"Abia","Aba North","Malaria Vaccine","vacc","Malaria Vaccine Procurement",132209881.077829,"Naira"
"Abia","Aba North","Malaria Vaccine","vacc","Malaria Vaccine Procurement",82631.1756736431,"USD"
"Abia","Aba North","PMC","pmc","PMC Distribution",1867429.65852268,"Naira"
"Abia","Aba North","PMC","pmc","PMC Distribution",1167.14353657667,"USD"
"Abia","Aba North","PMC","pmc","PMC SP Procurement",53901561.4878162,"Naira"
"Abia","Aba North","PMC","pmc","PMC SP Procurement",33688.4759298851,"USD"
"Abia","Aba North","Private Sector Case Management","cm_private","CM Private",251158096.10264,"Naira"
"Abia","Aba North","Private Sector Case Management","cm_private","CM Private",156973.81006415,"USD"
"Abia","Aba North","Public Sector Case Management","cm_public","CM AL Distribution",28761604.2837111,"Naira"
"Abia","Aba North","Public Sector Case Management","cm_public","CM AL Distribution",17976.0026773194,"USD"
"Abia","Aba North","Public Sector Case Management","cm_public","CM AL Procurement",115046417.134844,"Naira"
"Abia","Aba North","Public Sector Case Management","cm_public","CM AL Procurement",71904.0107092775,"USD"
"Abia","Aba North","Public Sector Case Management","cm_public","CM IV Artesunate Distribution",4574810.93722092,"Naira"
"Abia","Aba North","Public Sector Case Management","cm_public","CM IV Artesunate Distribution",2859.25683576307,"USD"
