"state","lga","pop_2025_projected","pop_number_children_u5","pop_number_pw","admin_number_states","admin_number_lgas","admin_number_wards","currency","full_cost","cost_per_person"
"Benue","Ado",325721.299888227,59932.7191794338,16286.0649944114,NA,1,10,"Naira",1449693759.98618,4450.71833031383
"Benue","Ado",325721.299888227,59932.7191794338,16286.0649944114,NA,1,10,"USD",906058.599991365,2.78169895644615
"Benue","Agatu",204200.929031446,37572.9709417861,10210.0464515723,NA,1,10,"Naira",1021766724.47686,5003.73200711302
"Benue","Agatu",204200.929031446,37572.9709417861,10210.0464515723,NA,1,10,"USD",638604.202798038,3.12733250444564
"Benue","Apa",170960.889224317,31456.8036172744,8548.04446121586,NA,1,11,"Naira",861209615.926247,5037.46570244062
"Benue","Apa",170960.889224317,31456.8036172744,8548.04446121586,NA,1,11,"USD",538256.009953904,3.14841606402538
"Benue","Buruku",364276.707701928,67026.9142171547,18213.8353850964,NA,1,13,"Naira",1626312612.67831,4464.49794426344
"Benue","Buruku",364276.707701928,67026.9142171547,18213.8353850964,NA,1,13,"USD",1016445.38292394,2.79031121516464
"Benue","Gboko",638276.950805708,117442.95894825,31913.8475402854,NA,1,17,"Naira",2823644812.71593,4423.85520760478
"Benue","Gboko",638276.950805708,117442.95894825,31913.8475402854,NA,1,17,"USD",1764778.00794746,2.76490950475299
"Benue","Guma",342988.738327654,63109.9278522883,17149.4369163827,NA,1,10,"Naira",1675540460.92051,4885.11800442813
"Benue","Guma",342988.738327654,63109.9278522883,17149.4369163827,NA,1,10,"USD",1047212.78807532,3.05319875276758
"Benue","Gwer East",297936.180787077,54820.2572648222,14896.8090393539,NA,1,14,"Naira",1336604663.18076,4486.21130756851
"Benue","Gwer East",297936.180787077,54820.2572648222,14896.8090393539,NA,1,14,"USD",835377.914487974,2.80388206723031
"Benue","Gwer West",216064.674971005,39755.900194665,10803.2337485503,NA,1,15,"Naira",1079735413.066,4997.27876947445
"Benue","Gwer West",216064.674971005,39755.900194665,10803.2337485503,NA,1,15,"USD",674834.633166253,3.12329923092154
"Benue","Katsina Ala",398292.236560198,73285.7715270765,19914.6118280099,NA,1,12,"Naira",1788470826.89153,4490.34819844203
"Benue","Katsina Ala",398292.236560198,73285.7715270765,19914.6118280099,NA,1,12,"USD",1117794.26680721,2.80646762402627
