"intervention","state","lga","total_cost","target_value","state_count","lga_count","intervention_type","title","currency","target","cost_per_target"
"cm_private","Abia","Aba North",251158096.10264,179560.544088719,1,1,"Malaria Interventions","Private Sector Case Management","Naira","Population",1398.73766465391
"cm_private","Abia","Aba North",156973.81006415,179560.544088719,1,1,"Malaria Interventions","Private Sector Case Management","USD","Population",0.874211040408693
"cm_private","Abia","Aba South",1004738165.87068,718317.802730565,1,1,"Malaria Interventions","Private Sector Case Management","Naira","Population",1398.73766465391
"cm_private","Abia","Aba South",627961.353669175,718317.802730565,1,1,"Malaria Interventions","Private Sector Case Management","USD","Population",0.874211040408695
"cm_private","Abia","Arochukwu",398065037.212431,284588.774057875,1,1,"Malaria Interventions","Private Sector Case Management","Naira","Population",1398.73766465391
"cm_private","Abia","Arochukwu",248790.648257769,284588.774057875,1,1,"Malaria Interventions","Private Sector Case Management","USD","Population",0.874211040408693
"cm_private","Abia","Bende",452794013.977262,323716.180252641,1,1,"Malaria Interventions","Private Sector Case Management","Naira","Population",1398.73766465391
"cm_private","Abia","Bende",282996.258735789,323716.180252641,1,1,"Malaria Interventions","Private Sector Case Management","USD","Population",0.874211040408691
"cm_private","Abia","Ikwuano",324154355.679924,231747.785071713,1,1,"Malaria Interventions","Private Sector Case Management","Naira","Population",1398.73766465391
"cm_private","Abia","Ikwuano",202596.472299952,231747.785071713,1,1,"Malaria Interventions","Private Sector Case Management","USD","Population",0.874211040408693
"cm_private","Abia","Isiala Ngwa North",362202771.534041,258949.752113569,1,1,"Malaria Interventions","Private Sector Case Management","Naira","Population",1398.7376646539
"cm_private","Abia","Isiala Ngwa North",226376.732208776,258949.752113569,1,1,"Malaria Interventions","Private Sector Case Management","USD","Population",0.87421104040869
"cm_private","Abia","Isiala Ngwa South",321223033.885157,229652.094172097,1,1,"Malaria Interventions","Private Sector Case Management","Naira","Population",1398.7376646539
"cm_private","Abia","Isiala Ngwa South",200764.396178223,229652.094172097,1,1,"Malaria Interventions","Private Sector Case Management","USD","Population",0.874211040408689
"cm_private","Abia","Isuikwato",272196853.170128,194601.789919969,1,1,"Malaria Interventions","Private Sector Case Management","Naira","Population",1398.73766465391
