"","title","scenario","state_count","lga_count","total_cost","currency","intervention_type","plan","plan_description","plan_details"
"1","Capacity Building","scenario 1",NA,NA,17539673600,"Naira","Support Services","Scenario 1","Fully scaled-up plan"," "
"2","Capacity Building","scenario 1",NA,NA,10962296,"USD","Support Services","Scenario 1","Fully scaled-up plan"," "
"3","Capacity Building","scenario 2",NA,NA,17539673600,"Naira","Support Services","Scenario 2","Prioritized plan A","Targeted mass campaigns, reduced IRS and LSM, 22 state vaccine rollout, targeted PMC, medium private sector CM"
"4","Capacity Building","scenario 2",NA,NA,10962296,"USD","Support Services","Scenario 2","Prioritized plan A","Targeted mass campaigns, reduced IRS and LSM, 22 state vaccine rollout, targeted PMC, medium private sector CM"
"5","Capacity Building","scenario 3",NA,NA,17539673600,"Naira","Support Services","Scenario 3","Prioritized plan B","Targeted mass campaigns, reduced IRS and LSM, 2 state vaccine rollout, 2 state PMC, low private sector CM"
"6","Capacity Building","scenario 3",NA,NA,10962296,"USD","Support Services","Scenario 3","Prioritized plan B","Targeted mass campaigns, reduced IRS and LSM, 2 state vaccine rollout, 2 state PMC, low private sector CM"
"7","Capacity Building","scenario 4",NA,NA,17539673600,"Naira","Support Services","Scenario 4","As is – prior plan","Targeted mass campaign, reduced LSM, no IRS, 2 state vaccine rollout, 2 state PMC, no private sector CM"
"8","Capacity Building","scenario 4",NA,NA,10962296,"USD","Support Services","Scenario 4","As is – prior plan","Targeted mass campaign, reduced LSM, no IRS, 2 state vaccine rollout, 2 state PMC, no private sector CM"
"9","Entomological surveillance","scenario 1",26,NA,3520000000,"Naira","Support Services","Scenario 1","Fully scaled-up plan"," "
"10","Entomological surveillance","scenario 1",26,NA,2200000,"USD","Support Services","Scenario 1","Fully scaled-up plan"," "
"11","Entomological surveillance","scenario 2",11,NA,1489230400,"Naira","Support Services","Scenario 2","Prioritized plan A","Targeted mass campaigns, reduced IRS and LSM, 22 state vaccine rollout, targeted PMC, medium private sector CM"
"12","Entomological surveillance","scenario 2",11,NA,930769,"USD","Support Services","Scenario 2","Prioritized plan A","Targeted mass campaigns, reduced IRS and LSM, 22 state vaccine rollout, targeted PMC, medium private sector CM"
