"intervention","full_name","state","value","currency"
"IPTp","IPTp SP Distribution","Abia",87044953.1022288,"Naira"
"IPTp","IPTp SP Distribution","Abia",54403.095688893,"USD"
"IPTp","IPTp SP Distribution","Adamawa",111782687.443736,"Naira"
"IPTp","IPTp SP Distribution","Adamawa",69864.179652335,"USD"
"IPTp","IPTp SP Distribution","Akwa Ibom",101310375.319009,"Naira"
"IPTp","IPTp SP Distribution","Akwa Ibom",63318.9845743805,"USD"
"IPTp","IPTp SP Distribution","Anambra",127426672.862988,"Naira"
"IPTp","IPTp SP Distribution","Anambra",79641.6705393676,"USD"
"IPTp","IPTp SP Distribution","Bauchi",123285132.277951,"Naira"
"IPTp","IPTp SP Distribution","Bauchi",77053.2076737191,"USD"
"IPTp","IPTp SP Distribution","Bayelsa",37140377.9447629,"Naira"
"IPTp","IPTp SP Distribution","Bayelsa",23212.7362154768,"USD"
"IPTp","IPTp SP Distribution","Benue",184096186.463939,"Naira"
"IPTp","IPTp SP Distribution","Benue",115060.116539962,"USD"
"IPTp","IPTp SP Distribution","Borno",122690802.922412,"Naira"
"IPTp","IPTp SP Distribution","Borno",76681.7518265078,"USD"
"IPTp","IPTp SP Distribution","Cross River",83491423.6201901,"Naira"
"IPTp","IPTp SP Distribution","Cross River",52182.1397626188,"USD"
"IPTp","IPTp SP Distribution","Delta",107322274.669244,"Naira"
"IPTp","IPTp SP Distribution","Delta",67076.4216682773,"USD"
"IPTp","IPTp SP Distribution","Ebonyi",59444493.2521715,"Naira"
"IPTp","IPTp SP Distribution","Ebonyi",37152.8082826072,"USD"
"IPTp","IPTp SP Distribution","Edo",93408977.3909287,"Naira"
"IPTp","IPTp SP Distribution","Edo",58380.6108693305,"USD"
"IPTp","IPTp SP Distribution","Ekiti",75021256.8054022,"Naira"
"IPTp","IPTp SP Distribution","Ekiti",46888.2855033764,"USD"
"IPTp","IPTp SP Distribution","Enugu",98547273.5209322,"Naira"
"IPTp","IPTp SP Distribution","Enugu",61592.0459505826,"USD"
"IPTp","IPTp SP Distribution","Federal Capital Territory",123356669.432319,"Naira"
"IPTp","IPTp SP Distribution","Federal Capital Territory",77097.9183951994,"USD"
"IPTp","IPTp SP Distribution","Gombe",71393531.4425119,"Naira"
"IPTp","IPTp SP Distribution","Gombe",44620.9571515699,"USD"
"IPTp","IPTp SP Distribution","Imo",128206708.370649,"Naira"
"IPTp","IPTp SP Distribution","Imo",80129.1927316555,"USD"
"IPTp","IPTp SP Distribution","Jigawa",182925239.618881,"Naira"
"IPTp","IPTp SP Distribution","Jigawa",114328.274761801,"USD"
"IPTp","IPTp SP Distribution","Kaduna",239767635.007971,"Naira"
"IPTp","IPTp SP Distribution","Kaduna",149854.771879982,"USD"
"IPTp","IPTp SP Distribution","Kano",279144773.997448,"Naira"
"IPTp","IPTp SP Distribution","Kano",174465.483748405,"USD"
"IPTp","IPTp SP Distribution","Katsina",261732103.084629,"Naira"
"IPTp","IPTp SP Distribution","Katsina",163582.564427893,"USD"
"IPTp","IPTp SP Distribution","Kebbi",74640541.793877,"Naira"
"IPTp","IPTp SP Distribution","Kebbi",46650.3386211731,"USD"
"IPTp","IPTp SP Distribution","Kogi",123247418.847441,"Naira"
"IPTp","IPTp SP Distribution","Kogi",77029.6367796509,"USD"
"IPTp","IPTp SP Distribution","Kwara",91444077.3567785,"Naira"
"IPTp","IPTp SP Distribution","Kwara",57152.5483479865,"USD"
"IPTp","IPTp SP Distribution","Lagos",289830781.443583,"Naira"
"IPTp","IPTp SP Distribution","Lagos",181144.238402239,"USD"
"IPTp","IPTp SP Distribution","Nasarawa",76047069.6297749,"Naira"
"IPTp","IPTp SP Distribution","Nasarawa",47529.4185186093,"USD"
"IPTp","IPTp SP Distribution","Niger",139401146.374605,"Naira"
"IPTp","IPTp SP Distribution","Niger",87125.7164841281,"USD"
"IPTp","IPTp SP Distribution","Ogun",121454505.516073,"Naira"
"IPTp","IPTp SP Distribution","Ogun",75909.0659475453,"USD"
"IPTp","IPTp SP Distribution","Ondo",111714836.097881,"Naira"
"IPTp","IPTp SP Distribution","Ondo",69821.7725611758,"USD"
"IPTp","IPTp SP Distribution","Osun",111115989.701431,"Naira"
"IPTp","IPTp SP Distribution","Osun",69447.4935633945,"USD"
"IPTp","IPTp SP Distribution","Oyo",162896439.352313,"Naira"
"IPTp","IPTp SP Distribution","Oyo",101810.274595195,"USD"
"IPTp","IPTp SP Distribution","Plateau",90036952.6157708,"Naira"
"IPTp","IPTp SP Distribution","Plateau",56273.0953848568,"USD"
"IPTp","IPTp SP Distribution","Rivers",157098480.566898,"Naira"
"IPTp","IPTp SP Distribution","Rivers",98186.5503543111,"USD"
"IPTp","IPTp SP Distribution","Sokoto",88912180.2815177,"Naira"
"IPTp","IPTp SP Distribution","Sokoto",55570.1126759486,"USD"
"IPTp","IPTp SP Distribution","Taraba",108650427.119433,"Naira"
"IPTp","IPTp SP Distribution","Taraba",67906.5169496456,"USD"
"IPTp","IPTp SP Distribution","Yobe",112255910.770787,"Naira"
"IPTp","IPTp SP Distribution","Yobe",70159.9442317421,"USD"
"IPTp","IPTp SP Distribution","Zamfara",124894840.442253,"Naira"
"IPTp","IPTp SP Distribution","Zamfara",78059.275276408,"USD"
"IPTp","IPTp SP Procurement","Abia",348179812.408915,"Naira"
"IPTp","IPTp SP Procurement","Abia",217612.382755572,"USD"
"IPTp","IPTp SP Procurement","Adamawa",447130749.774944,"Naira"
"IPTp","IPTp SP Procurement","Adamawa",279456.71860934,"USD"
"IPTp","IPTp SP Procurement","Akwa Ibom",405241501.276035,"Naira"
"IPTp","IPTp SP Procurement","Akwa Ibom",253275.938297522,"USD"
"IPTp","IPTp SP Procurement","Anambra",509706691.451952,"Naira"
"IPTp","IPTp SP Procurement","Anambra",318566.68215747,"USD"
"IPTp","IPTp SP Procurement","Bauchi",493140529.111802,"Naira"
"IPTp","IPTp SP Procurement","Bauchi",308212.830694876,"USD"
"IPTp","IPTp SP Procurement","Bayelsa",148561511.779052,"Naira"
"IPTp","IPTp SP Procurement","Bayelsa",92850.9448619072,"USD"
"IPTp","IPTp SP Procurement","Benue",736384745.855758,"Naira"
"IPTp","IPTp SP Procurement","Benue",460240.466159849,"USD"
"IPTp","IPTp SP Procurement","Borno",490763211.68965,"Naira"
"IPTp","IPTp SP Procurement","Borno",306727.007306031,"USD"
"IPTp","IPTp SP Procurement","Cross River",333965694.480761,"Naira"
"IPTp","IPTp SP Procurement","Cross River",208728.559050475,"USD"
"IPTp","IPTp SP Procurement","Delta",429289098.676975,"Naira"
"IPTp","IPTp SP Procurement","Delta",268305.686673109,"USD"
"IPTp","IPTp SP Procurement","Ebonyi",237777973.008686,"Naira"
"IPTp","IPTp SP Procurement","Ebonyi",148611.233130429,"USD"
"IPTp","IPTp SP Procurement","Edo",373635909.563715,"Naira"
"IPTp","IPTp SP Procurement","Edo",233522.443477322,"USD"
"IPTp","IPTp SP Procurement","Ekiti",300085027.221609,"Naira"
"IPTp","IPTp SP Procurement","Ekiti",187553.142013505,"USD"
"IPTp","IPTp SP Procurement","Enugu",394189094.083729,"Naira"
"IPTp","IPTp SP Procurement","Enugu",246368.183802331,"USD"
"IPTp","IPTp SP Procurement","Federal Capital Territory",493426677.729276,"Naira"
"IPTp","IPTp SP Procurement","Federal Capital Territory",308391.673580798,"USD"
"IPTp","IPTp SP Procurement","Gombe",285574125.770047,"Naira"
"IPTp","IPTp SP Procurement","Gombe",178483.82860628,"USD"
"IPTp","IPTp SP Procurement","Imo",512826833.482596,"Naira"
"IPTp","IPTp SP Procurement","Imo",320516.770926622,"USD"
"IPTp","IPTp SP Procurement","Jigawa",731700958.475524,"Naira"
"IPTp","IPTp SP Procurement","Jigawa",457313.099047203,"USD"
"IPTp","IPTp SP Procurement","Kaduna",959070540.031884,"Naira"
"IPTp","IPTp SP Procurement","Kaduna",599419.087519927,"USD"
"IPTp","IPTp SP Procurement","Kano",1116579095.98979,"Naira"
"IPTp","IPTp SP Procurement","Kano",697861.934993621,"USD"
"IPTp","IPTp SP Procurement","Katsina",1046928412.33852,"Naira"
"IPTp","IPTp SP Procurement","Katsina",654330.257711574,"USD"
"IPTp","IPTp SP Procurement","Kebbi",298562167.175508,"Naira"
"IPTp","IPTp SP Procurement","Kebbi",186601.354484693,"USD"
"IPTp","IPTp SP Procurement","Kogi",492989675.389765,"Naira"
"IPTp","IPTp SP Procurement","Kogi",308118.547118603,"USD"
"IPTp","IPTp SP Procurement","Kwara",365776309.427114,"Naira"
"IPTp","IPTp SP Procurement","Kwara",228610.193391946,"USD"
"IPTp","IPTp SP Procurement","Lagos",1159323125.77433,"Naira"
"IPTp","IPTp SP Procurement","Lagos",724576.953608957,"USD"
"IPTp","IPTp SP Procurement","Nasarawa",304188278.5191,"Naira"
"IPTp","IPTp SP Procurement","Nasarawa",190117.674074437,"USD"
"IPTp","IPTp SP Procurement","Niger",557604585.49842,"Naira"
"IPTp","IPTp SP Procurement","Niger",348502.865936512,"USD"
"IPTp","IPTp SP Procurement","Ogun",485818022.06429,"Naira"
"IPTp","IPTp SP Procurement","Ogun",303636.263790181,"USD"
"IPTp","IPTp SP Procurement","Ondo",446859344.391525,"Naira"
"IPTp","IPTp SP Procurement","Ondo",279287.090244703,"USD"
"IPTp","IPTp SP Procurement","Osun",444463958.805724,"Naira"
"IPTp","IPTp SP Procurement","Osun",277789.974253578,"USD"
"IPTp","IPTp SP Procurement","Oyo",651585757.40925,"Naira"
"IPTp","IPTp SP Procurement","Oyo",407241.098380781,"USD"
"IPTp","IPTp SP Procurement","Plateau",360147810.463083,"Naira"
"IPTp","IPTp SP Procurement","Plateau",225092.381539427,"USD"
"IPTp","IPTp SP Procurement","Rivers",628393922.267591,"Naira"
"IPTp","IPTp SP Procurement","Rivers",392746.201417244,"USD"
"IPTp","IPTp SP Procurement","Sokoto",355648721.126071,"Naira"
"IPTp","IPTp SP Procurement","Sokoto",222280.450703794,"USD"
"IPTp","IPTp SP Procurement","Taraba",434601708.477731,"Naira"
"IPTp","IPTp SP Procurement","Taraba",271626.067798582,"USD"
"IPTp","IPTp SP Procurement","Yobe",449023643.083149,"Naira"
"IPTp","IPTp SP Procurement","Yobe",280639.776926968,"USD"
"IPTp","IPTp SP Procurement","Zamfara",499579361.769011,"Naira"
"IPTp","IPTp SP Procurement","Zamfara",312237.101105632,"USD"
"ITN Campaign","ITN Campaign Campaign","Akwa Ibom",2372088320.2133,"Naira"
"ITN Campaign","ITN Campaign Campaign","Akwa Ibom",1482555.20013331,"USD"
"ITN Campaign","ITN Campaign Campaign","Anambra",2055592645.75198,"Naira"
"ITN Campaign","ITN Campaign Campaign","Anambra",1284745.40359499,"USD"
"ITN Campaign","ITN Campaign Campaign","Delta",2101896258.3376,"Naira"
"ITN Campaign","ITN Campaign Campaign","Delta",1313685.161461,"USD"
"ITN Campaign","ITN Campaign Campaign","Kaduna",1879209251.35097,"Naira"
"ITN Campaign","ITN Campaign Campaign","Kaduna",1174505.78209436,"USD"
"ITN Campaign","ITN Campaign Campaign","Kano",4219317908.16835,"Naira"
"ITN Campaign","ITN Campaign Campaign","Kano",2637073.69260522,"USD"
"ITN Campaign","ITN Campaign Campaign","Katsina",3714307868.06531,"Naira"
"ITN Campaign","ITN Campaign Campaign","Katsina",2321442.41754082,"USD"
"ITN Campaign","ITN Campaign Campaign","Kebbi",1820360704.11074,"Naira"
"ITN Campaign","ITN Campaign Campaign","Kebbi",1137725.44006921,"USD"
"ITN Campaign","ITN Campaign Campaign","Nasarawa",1073369219.22243,"Naira"
"ITN Campaign","ITN Campaign Campaign","Nasarawa",670855.762014017,"USD"
"ITN Campaign","ITN Campaign Campaign","Niger",2430792660.45793,"Naira"
"ITN Campaign","ITN Campaign Campaign","Niger",1519245.41278621,"USD"
"ITN Campaign","ITN Campaign Campaign","Sokoto",1925615993.67782,"Naira"
"ITN Campaign","ITN Campaign Campaign","Sokoto",1203509.99604864,"USD"
"ITN Campaign","ITN Campaign Campaign","Taraba",1272871275.91627,"Naira"
"ITN Campaign","ITN Campaign Campaign","Taraba",795544.547447668,"USD"
"ITN Campaign","ITN Campaign Campaign","Yobe",1455918463.10175,"Naira"
"ITN Campaign","ITN Campaign Campaign","Yobe",909949.039438595,"USD"
"ITN Campaign","ITN Campaign Net Distribution Procurement","Akwa Ibom",812359013.771678,"Naira"
"ITN Campaign","ITN Campaign Net Distribution Procurement","Akwa Ibom",507724.383607298,"USD"
"ITN Campaign","ITN Campaign Net Distribution Procurement","Anambra",703970084.161637,"Naira"
"ITN Campaign","ITN Campaign Net Distribution Procurement","Anambra",439981.302601023,"USD"
"ITN Campaign","ITN Campaign Net Distribution Procurement","Delta",719827485.732057,"Naira"
"ITN Campaign","ITN Campaign Net Distribution Procurement","Delta",449892.178582536,"USD"
"ITN Campaign","ITN Campaign Net Distribution Procurement","Kaduna",643564812.106498,"Naira"
"ITN Campaign","ITN Campaign Net Distribution Procurement","Kaduna",402228.007566561,"USD"
"ITN Campaign","ITN Campaign Net Distribution Procurement","Kano",1444971886.35902,"Naira"
"ITN Campaign","ITN Campaign Net Distribution Procurement","Kano",903107.428974389,"USD"
"ITN Campaign","ITN Campaign Net Distribution Procurement","Katsina",1272023242.48812,"Naira"
"ITN Campaign","ITN Campaign Net Distribution Procurement","Katsina",795014.526555074,"USD"
"ITN Campaign","ITN Campaign Net Distribution Procurement","Kebbi",623411200.037924,"Naira"
"ITN Campaign","ITN Campaign Net Distribution Procurement","Kebbi",389632.000023702,"USD"
"ITN Campaign","ITN Campaign Net Distribution Procurement","Nasarawa",367592198.363844,"Naira"
"ITN Campaign","ITN Campaign Net Distribution Procurement","Nasarawa",229745.123977403,"USD"
"ITN Campaign","ITN Campaign Net Distribution Procurement","Niger",832463239.882853,"Naira"
"ITN Campaign","ITN Campaign Net Distribution Procurement","Niger",520289.524926783,"USD"
"ITN Campaign","ITN Campaign Net Distribution Procurement","Sokoto",659457532.081447,"Naira"
"ITN Campaign","ITN Campaign Net Distribution Procurement","Sokoto",412160.957550905,"USD"
"ITN Campaign","ITN Campaign Net Distribution Procurement","Taraba",435914820.51927,"Naira"
"ITN Campaign","ITN Campaign Net Distribution Procurement","Taraba",272446.762824544,"USD"
"ITN Campaign","ITN Campaign Net Distribution Procurement","Yobe",498602213.391011,"Naira"
"ITN Campaign","ITN Campaign Net Distribution Procurement","Yobe",311626.383369382,"USD"
"ITN Campaign","ITN Campaign Net Procurement","Akwa Ibom",22684999082.507,"Naira"
"ITN Campaign","ITN Campaign Net Procurement","Akwa Ibom",14178124.4265669,"USD"
"ITN Campaign","ITN Campaign Net Procurement","Anambra",19658255084.9957,"Naira"
"ITN Campaign","ITN Campaign Net Procurement","Anambra",12286409.4281223,"USD"
"ITN Campaign","ITN Campaign Net Procurement","Delta",20101070556.9454,"Naira"
"ITN Campaign","ITN Campaign Net Procurement","Delta",12563169.0980909,"USD"
"ITN Campaign","ITN Campaign Net Procurement","Kaduna",17971447259.9833,"Naira"
"ITN Campaign","ITN Campaign Net Procurement","Kaduna",11232154.5374895,"USD"
"ITN Campaign","ITN Campaign Net Procurement","Kano",40350615135.1893,"Naira"
"ITN Campaign","ITN Campaign Net Procurement","Kano",25219134.4594933,"USD"
"ITN Campaign","ITN Campaign Net Procurement","Katsina",35521051160.3689,"Naira"
"ITN Campaign","ITN Campaign Net Procurement","Katsina",22200656.9752306,"USD"
"ITN Campaign","ITN Campaign Net Procurement","Kebbi",17408660778.2254,"Naira"
"ITN Campaign","ITN Campaign Net Procurement","Kebbi",10880412.9863909,"USD"
"ITN Campaign","ITN Campaign Net Procurement","Nasarawa",10264954953.7272,"Naira"
"ITN Campaign","ITN Campaign Net Procurement","Nasarawa",6415596.84607953,"USD"
"ITN Campaign","ITN Campaign Net Procurement","Niger",23246406469.0874,"Naira"
"ITN Campaign","ITN Campaign Net Procurement","Niger",14529004.0431796,"USD"
"ITN Campaign","ITN Campaign Net Procurement","Sokoto",18415248992.885,"Naira"
"ITN Campaign","ITN Campaign Net Procurement","Sokoto",11509530.6205532,"USD"
"ITN Campaign","ITN Campaign Net Procurement","Taraba",12172853548.6038,"Naira"
"ITN Campaign","ITN Campaign Net Procurement","Taraba",7608033.46787738,"USD"
"ITN Campaign","ITN Campaign Net Procurement","Yobe",13923389242.3948,"Naira"
"ITN Campaign","ITN Campaign Net Procurement","Yobe",8702118.27649678,"USD"
"ITN Campaign Urban","ITN Campaign Campaign","Anambra",565151885.208919,"Naira"
"ITN Campaign Urban","ITN Campaign Campaign","Anambra",353219.928255574,"USD"
"ITN Campaign Urban","ITN Campaign Campaign","Delta",334532513.088193,"Naira"
