"state","pop_2025_projected","pop_number_children_u5","pop_number_pw","admin_number_states","admin_number_lgas","admin_number_wards","currency","full_cost","cost_per_person"
"Benue",7514013.71978729,1382578.52444086,375700.685989364,1,23,276,"Naira",43188342607.7988,5747.7061153172
"Benue",7514013.71978729,1382578.52444086,375700.685989364,1,23,276,"USD",26992714.1298742,3.59231632207325
"Federal Capital Territory",7591580.10009313,1191878.07571462,379579.005004656,1,6,62,"Naira",32536474584.8094,4285.86330590258
"Federal Capital Territory",7591580.10009313,1191878.07571462,379579.005004656,1,6,62,"USD",20335296.6155059,2.67866456618911
"Kogi",5843437.93765221,1098566.33227862,292171.896882611,1,21,239,"Naira",37452279527.4691,6409.2884919929
"Kogi",5843437.93765221,1098566.33227862,292171.896882611,1,21,239,"USD",23407674.7046682,4.00580530749556
"Kwara",4117163.43478859,716386.437653215,205858.17173943,1,16,186,"Naira",27375253516.9882,6649.05679616137
"Kwara",4117163.43478859,716386.437653215,205858.17173943,1,16,186,"USD",17109533.4481176,4.15566049760086
"Nasarawa",3308329.9852746,631891.027187448,165416.49926373,1,13,147,"Naira",30923082560.4925,9347.03693347741
"Nasarawa",3308329.9852746,631891.027187448,165416.49926373,1,13,147,"USD",19326926.6003078,5.84189808342338
"Niger",7492169.35894569,1490941.70243019,374608.467947284,1,25,274,"Naira",60643866937.1766,8094.30006607732
"Niger",7492169.35894569,1490941.70243019,374608.467947284,1,25,274,"USD",37902416.8357354,5.05893754129833
"Plateau",5560765.19568392,950890.84846195,278038.259784196,1,17,207,"Naira",36893921499.0663,6634.68429267651
"Plateau",5560765.19568392,950890.84846195,278038.259784196,1,17,207,"USD",23058700.9369164,4.14667768292282
"Adamawa",5462278.9412483,961361.093659702,273113.947062415,1,21,226,"Naira",34306462555.4683,6280.61344440023
"Adamawa",5462278.9412483,961361.093659702,273113.947062415,1,21,226,"USD",21441539.0971677,3.92538340275014
"Bauchi",8766603.89092317,1753320.77818463,438330.194546159,1,20,212,"Naira",64661161173.3776,7375.85066896053
"Bauchi",8766603.89092317,1753320.77818463,438330.194546159,1,20,212,"USD",40413225.733361,4.60990666810033
"Borno",7974905.60246315,1523206.97007046,398745.280123158,1,27,312,"Naira",57920258868.4741,7262.81435238365
"Borno",7974905.60246315,1523206.97007046,398745.280123158,1,27,312,"USD",36200161.7927963,4.53925897023978
"Gombe",4326643.4749778,843695.477620671,216332.17374889,1,11,114,"Naira",30282039420.7937,6998.96804437974
"Gombe",4326643.4749778,843695.477620671,216332.17374889,1,11,114,"USD",18926274.6379961,4.37435502773734
"Taraba",3957663.14857288,740083.008783129,197883.157428644,1,16,168,"Naira",43866195967.1788,11083.8629566028
"Taraba",3957663.14857288,740083.008783129,197883.157428644,1,16,168,"USD",27416372.4794868,6.92741434787673
"Yobe",4487419.12051907,848122.213778105,224370.956025954,1,17,178,"Naira",51806842191.121,11544.9082868659
"Yobe",4487419.12051907,848122.213778105,224370.956025954,1,17,178,"USD",32379276.3694506,7.21556767929118
"Jigawa",7521081.09911654,1511737.30092242,376054.054955827,1,27,287,"Naira",46096831048.6204,6129.01661890538
"Jigawa",7521081.09911654,1511737.30092242,376054.054955827,1,27,287,"USD",28810519.4053878,3.83063538681586
"Kaduna",10859338.5914622,2084993.00956075,542966.929573111,1,23,255,"Naira",96916789492.1063,8924.74147258876
"Kaduna",10859338.5914622,2084993.00956075,542966.929573111,1,23,255,"USD",60572993.4325665,5.57796342036798
"Kano",17615090.1229849,3399712.39373609,880754.506149246,1,44,484,"Naira",149337369088.475,8477.80897207067
"Kano",17615090.1229849,3399712.39373609,880754.506149246,1,44,484,"USD",93335855.6802968,5.29863060754417
"Katsina",10248439.3423184,2131675.38320222,512421.967115918,1,34,361,"Naira",103301153711.897,10079.6960650721
"Katsina",10248439.3423184,2131675.38320222,512421.967115918,1,34,361,"USD",64563221.0699355,6.29981004067005
"Kebbi",5892122.00035843,1190208.6440724,294606.100017922,1,21,225,"Naira",53530995209.426,9085.18106145283
"Kebbi",5892122.00035843,1190208.6440724,294606.100017922,1,21,225,"USD",33456872.0058913,5.67823816340802
"Sokoto",6528689.40120401,1318795.25904321,326434.470060201,1,23,244,"Naira",60845568556.2081,9319.72174154695
"Sokoto",6528689.40120401,1318795.25904321,326434.470060201,1,23,244,"USD",38028480.3476301,5.82482608846684
"Zamfara",5965390.03051833,1205008.7861647,298269.501525917,1,14,147,"Naira",35134205523.9298,5889.67449641796
"Zamfara",5965390.03051833,1205008.7861647,298269.501525917,1,14,147,"USD",21958878.4524561,3.68104656026123
"Abia",4781906.15232638,545137.301365208,239095.307616319,1,17,184,"Naira",23185919080.9277,4848.67714721835
"Abia",4781906.15232638,545137.301365208,239095.307616319,1,17,184,"USD",14491199.4255798,3.03042321701147
"Anambra",7060244.39591034,797807.616737868,353012.219795517,1,21,326,"Naira",61231703601.3899,8672.7456115908
"Anambra",7060244.39591034,797807.616737868,353012.219795517,1,21,326,"USD",38269814.7508687,5.42046600724425
"Ebonyi",3692514.81895257,550184.708023933,184625.740947629,1,13,171,"Naira",18026706188.3703,4881.95906373743
"Ebonyi",3692514.81895257,550184.708023933,184625.740947629,1,13,171,"USD",11266691.3677314,3.0512244148359
"Enugu",5730171.95996931,676160.291276379,286508.597998466,1,17,259,"Naira",28420136793.805,4959.73541323831
"Enugu",5730171.95996931,676160.291276379,286508.597998466,1,17,259,"USD",17762585.4961281,3.09983463327394
"Imo",7132434.57603839,841627.27997253,356621.728801919,1,27,305,"Naira",27226904837.6906,3817.33677994891
"Imo",7132434.57603839,841627.27997253,356621.728801919,1,27,305,"USD",17016815.5235567,2.38583548746807
"Akwa Ibom",7311230.12394508,891970.0751213,365561.506197254,1,31,329,"Naira",55472018785.6224,7587.23468489187
"Akwa Ibom",7311230.12394508,891970.0751213,365561.506197254,1,31,329,"USD",34670011.741014,4.74202167805742
"Bayelsa",2966900.42968161,370862.553710201,148345.02148408,1,8,105,"Naira",17094312928.4304,5761.67395353571
"Bayelsa",2966900.42968161,370862.553710201,148345.02148408,1,8,105,"USD",10683945.580269,3.60104622095982
"Cross River",4970920.40758239,641248.732578129,248546.02037912,1,18,193,"Naira",29204338983.7795,5875.03653030386
"Cross River",4970920.40758239,641248.732578129,248546.02037912,1,18,193,"USD",18252711.8648622,3.67189783143991
"Delta",7509540.13384663,953711.596998522,375477.006692332,1,25,270,"Naira",59263547061.5046,7891.76780538063
"Delta",7509540.13384663,953711.596998522,375477.006692332,1,25,270,"USD",37039716.9134404,4.93235487836289
"Edo",5444005.0685711,691388.643708529,272200.253428555,1,18,192,"Naira",28976960949.0102,5322.72850300924
"Edo",5444005.0685711,691388.643708529,272200.253428555,1,18,192,"USD",18110600.5931314,3.32670531438078
"Rivers",9830697.1567989,1169852.96165907,491534.857839945,1,23,319,"Naira",52664419685.7133,5357.13986970809
"Rivers",9830697.1567989,1169852.96165907,491534.857839945,1,23,319,"USD",32915262.3035708,3.34821241856756
"Ekiti",4292767.95937338,493668.315327939,214638.397968669,1,16,177,"Naira",18828961321.6511,4386.20524096522
"Ekiti",4292767.95937338,493668.315327939,214638.397968669,1,16,177,"USD",11768100.8260319,2.74137827560326
"Lagos",16703293.9146234,2104615.03324255,835164.69573117,1,20,245,"Naira",63983522727.1367,3830.59311858964
"Lagos",16703293.9146234,2104615.03324255,835164.69573117,1,20,245,"USD",39989701.7044604,2.39412069911853
"Ogun",6964150.41336753,981945.208284821,348207.520668376,1,20,236,"Naira",34194171367.7081,4910.02769010748
"Ogun",6964150.41336753,981945.208284821,348207.520668376,1,20,236,"USD",21371357.1048175,3.06876730631718
"Ondo",6079873.18726477,772143.894782625,303993.659363238,1,18,203,"Naira",28651133445.754,4712.45576400642
"Ondo",6079873.18726477,772143.894782625,303993.659363238,1,18,203,"USD",17906958.4035962,2.94528485250401
"Osun",6228070.94022188,741140.441886404,311403.547011094,1,30,332,"Naira",29847723147.2235,4792.45073373556
"Osun",6228070.94022188,741140.441886404,311403.547011094,1,30,332,"USD",18654826.9670147,2.99528170858473
"Oyo",10437654.3831539,1336019.7610437,521882.719157694,1,33,351,"Naira",55330645024.4004,5301.06123399742
"Oyo",10437654.3831539,1336019.7610437,521882.719157694,1,33,351,"USD",34581653.1402503,3.31316327124839
