"intervention","state","total_cost","target_value","state_count","lga_count","intervention_type","title","currency","target","cost_per_target"
"cm_private","Abia",6688632244.09916,4781906.15232638,1,17,"Malaria Interventions","Private Sector Case Management","Naira","Population",1398.73766465391
"cm_private","Abia",4180395.15256197,4781906.15232638,1,17,"Malaria Interventions","Private Sector Case Management","USD","Population",0.874211040408692
"cm_private","Adamawa",6098783324.30682,5462278.9412483,1,21,"Malaria Interventions","Private Sector Case Management","Naira","Population",1116.52725719515
"cm_private","Adamawa",3811739.57769176,5462278.9412483,1,21,"Malaria Interventions","Private Sector Case Management","USD","Population",0.697829535746971
"cm_private","Akwa Ibom",8847269536.20803,7311230.12394509,1,31,"Malaria Interventions","Private Sector Case Management","Naira","Population",1210.09315617522
"cm_private","Akwa Ibom",5529543.46013002,7311230.12394509,1,31,"Malaria Interventions","Private Sector Case Management","USD","Population",0.756308222609511
"cm_private","Anambra",12401915211.4359,7060244.39591034,1,21,"Malaria Interventions","Private Sector Case Management","Naira","Population",1756.58440642929
"cm_private","Anambra",7751197.00714742,7060244.39591034,1,21,"Malaria Interventions","Private Sector Case Management","USD","Population",1.09786525401831
"cm_private","Bauchi",14879514005.162,8766603.89092317,1,20,"Malaria Interventions","Private Sector Case Management","Naira","Population",1697.29512024241
"cm_private","Bauchi",9299696.25322626,8766603.89092317,1,20,"Malaria Interventions","Private Sector Case Management","USD","Population",1.06080945015151
"cm_private","Bayelsa",4857524397.43846,2966900.42968161,1,8,"Malaria Interventions","Private Sector Case Management","Naira","Population",1637.23876569722
"cm_private","Bayelsa",3035952.74839904,2966900.42968161,1,8,"Malaria Interventions","Private Sector Case Management","USD","Population",1.02327422856076
"cm_private","Benue",9431931533.11192,7514013.71978729,1,23,"Malaria Interventions","Private Sector Case Management","Naira","Population",1255.24545001482
"cm_private","Benue",5894957.20819495,7514013.71978729,1,23,"Malaria Interventions","Private Sector Case Management","USD","Population",0.784528406259262
"cm_private","Borno",11693434636.5562,7974905.60246315,1,27,"Malaria Interventions","Private Sector Case Management","Naira","Population",1466.27875230831
"cm_private","Borno",7308396.64784762,7974905.60246315,1,27,"Malaria Interventions","Private Sector Case Management","USD","Population",0.916424220192691
"cm_private","Cross River",7289446469.86552,4970920.40758239,1,18,"Malaria Interventions","Private Sector Case Management","Naira","Population",1466.41786071379
"cm_private","Cross River",4555904.04366595,4970920.40758239,1,18,"Malaria Interventions","Private Sector Case Management","USD","Population",0.916511162946122
