adm1,adm2,caseman_fund,iptp_fund,mass_llins_fund,smc_fund,ipti_fund,vac_fund,plan_fund
Abia,Aba North,CM,IPTp,Urban-Dual AI(2024),No SMC,IPTi,Not-pri,CM+IPTP+Urban-Dual AI+IPTi
Abia,Aba South,CM,IPTp,Urban-Dual AI(2024),No SMC,IPTi,Not-pri,CM+IPTP+Urban-Dual AI+IPTi
Abia,Arochukwu,CM,IPTp,Dual AI(2024),No SMC,IPTi,Not-pri,CM+IPTP+Dual AI+IPTi
Abia,Bende,CM,IPTp,Dual AI(2024),No SMC,IPTi,Not-pri,CM+IPTP+Dual AI+IPTi
Abia,Ikwuano,CM,IPTp,Dual AI(2024),No SMC,IPTi,Not-pri,CM+IPTP+Dual AI+IPTi
Abia,Isiala-Ngwa North,CM,IPTp,Dual AI(2024),No SMC,IPTi,Not-pri,CM+IPTP+Dual AI+IPTi
Abia,Isiala-Ngwa South,CM,IPTp,Dual AI(2024),No SMC,IPTi,Not-pri,CM+IPTP+Dual AI+IPTi
Abia,Isuikwato,CM,IPTp,Dual AI(2024),No SMC,IPTi,Not-pri,CM+IPTP+Dual AI+IPTi
Abia,Obi Nwa,CM,IPTp,Dual AI(2024),No SMC,IPTi,Not-pri,CM+IPTP+Dual AI+IPTi
Abia,Ohafia,CM,IPTp,Dual AI(2024),No SMC,IPTi,Not-pri,CM+IPTP+Dual AI+IPTi
Abia,Osisioma Ngwa,CM,IPTp,Dual AI(2024),No SMC,IPTi,Not-pri,CM+IPTP+Dual AI+IPTi
Abia,Ugwunagbo,CM,IPTp,Dual AI(2024),No SMC,IPTi,Not-pri,CM+IPTP+Dual AI+IPTi
Abia,Ukwa East,CM,IPTp,Dual AI(2024),No SMC,IPTi,Not-pri,CM+IPTP+Dual AI+IPTi
Abia,Ukwa West,CM,IPTp,Dual AI(2024),No SMC,IPTi,Not-pri,CM+IPTP+Dual AI+IPTi
Abia,Umu-Neochi,CM,IPTp,Dual AI(2024),No SMC,IPTi,Not-pri,CM+IPTP+Dual AI+IPTi
Abia,Umuahia North,CM,IPTp,Dual AI(2024),No SMC,IPTi,Not-pri,CM+IPTP+Dual AI+IPTi
