"","state","lga","code_case_management","code_smc","code_pmc","code_pmc_new","code_iptp","code_vaccine_all","code_vaccine_limited","code_irs","code_lsm","code_itn_type","code_itn_urban","itn_combined","intervention_summary_1","intervention_summary_2","intervention_summary_3","intervention_summary_4"
"1","Benue","Ado","CM",NA,"PMC",NA,"IPTp","Vaccine",NA,NA,"LSM","LLIN Routine",NA,"LLIN Routine","CM + IPTp + LLIN Routine + PMC + Vaccine + LSM","CM + IPTp + LLIN Routine + PMC + LSM","CM + IPTp + LLIN Routine + Vaccine + LSM","CM + IPTp + LLIN Routine + LSM"
"2","Benue","Agatu","CM","SMC",NA,NA,"IPTp","Vaccine",NA,NA,"LSM","LLIN Routine",NA,"LLIN Routine","CM + IPTp + LLIN Routine + SMC + Vaccine + LSM","CM + IPTp + LLIN Routine + SMC + LSM","CM + IPTp + LLIN Routine + SMC + Vaccine + LSM","CM + IPTp + LLIN Routine + SMC + LSM"
"3","Benue","Apa","CM","SMC",NA,NA,"IPTp","Vaccine",NA,NA,"LSM","LLIN Routine",NA,"LLIN Routine","CM + IPTp + LLIN Routine + SMC + Vaccine + LSM","CM + IPTp + LLIN Routine + SMC + LSM","CM + IPTp + LLIN Routine + SMC + Vaccine + LSM","CM + IPTp + LLIN Routine + SMC + LSM"
"4","Benue","Buruku","CM",NA,"PMC",NA,"IPTp","Vaccine",NA,NA,"LSM","LLIN Routine",NA,"LLIN Routine","CM + IPTp + LLIN Routine + PMC + Vaccine + LSM","CM + IPTp + LLIN Routine + PMC + LSM","CM + IPTp + LLIN Routine + Vaccine + LSM","CM + IPTp + LLIN Routine + LSM"
"5","Benue","Gboko","CM",NA,"PMC",NA,"IPTp","Vaccine",NA,NA,"LSM","LLIN Routine",NA,"LLIN Routine","CM + IPTp + LLIN Routine + PMC + Vaccine + LSM","CM + IPTp + LLIN Routine + PMC + LSM","CM + IPTp + LLIN Routine + Vaccine + LSM","CM + IPTp + LLIN Routine + LSM"
"6","Benue","Guma","CM","SMC",NA,NA,"IPTp","Vaccine",NA,NA,"LSM","LLIN Routine",NA,"LLIN Routine","CM + IPTp + LLIN Routine + SMC + Vaccine + LSM","CM + IPTp + LLIN Routine + SMC + LSM","CM + IPTp + LLIN Routine + SMC + Vaccine + LSM","CM + IPTp + LLIN Routine + SMC + LSM"
"7","Benue","Gwer East","CM",NA,"PMC",NA,"IPTp","Vaccine",NA,NA,"LSM","LLIN Routine",NA,"LLIN Routine","CM + IPTp + LLIN Routine + PMC + Vaccine + LSM","CM + IPTp + LLIN Routine + PMC + LSM","CM + IPTp + LLIN Routine + Vaccine + LSM","CM + IPTp + LLIN Routine + LSM"
"8","Benue","Gwer West","CM","SMC",NA,NA,"IPTp","Vaccine",NA,NA,"LSM","LLIN Routine",NA,"LLIN Routine","CM + IPTp + LLIN Routine + SMC + Vaccine + LSM","CM + IPTp + LLIN Routine + SMC + LSM","CM + IPTp + LLIN Routine + SMC + Vaccine + LSM","CM + IPTp + LLIN Routine + SMC + LSM"
"9","Benue","Katsina-Ala","CM",NA,"PMC",NA,"IPTp","Vaccine",NA,NA,"LSM","LLIN Routine",NA,"LLIN Routine","CM + IPTp + LLIN Routine + PMC + Vaccine + LSM","CM + IPTp + LLIN Routine + PMC + LSM","CM + IPTp + LLIN Routine + Vaccine + LSM","CM + IPTp + LLIN Routine + LSM"
"10","Benue","Konshisha","CM",NA,"PMC",NA,"IPTp","Vaccine",NA,NA,"LSM","LLIN Routine",NA,"LLIN Routine","CM + IPTp + LLIN Routine + PMC + Vaccine + LSM","CM + IPTp + LLIN Routine + PMC + LSM","CM + IPTp + LLIN Routine + Vaccine + LSM","CM + IPTp + LLIN Routine + LSM"
