"spatial_level_1","spatial_level_2","spatial_level_3","lga","code_case_management","code_smc","code_pmc","code_iptp","code_vaccine","code_vaccine_priority","code_vaccine_1","code_vaccine_1_priority","code_vaccine_2","code_vaccine_3","code_vaccine_4","code_vaccine_5","code_urban_nets","code_nets","code_irs","code_lsm","code_intervention_counts","code_intervention_mix","pop_2006_census","pop_annual_growth_percent","pop_2025_projected","pop_percent_pop_u5","pop_number_children_u5","pop_u5_smc_population","pop_u5_smc_pop_coded","pop_number_pw","pop_number_pw_children_u5","pop_number_children_u1","pop_number_children_1_2_yrs","pop_number_children_0_2_yrs","pop_number_children_5_36_mons","admin_number_states","admin_proportion_states","admin_number_lgas","admin_proportion_lgas","admin_number_wards","admin_proportion_wards","admin_landmass_sqkm","admin_landmass_2perc_coverage_sqkm","admin_landmass_2perc_coverage_hectares","admin_number_phc","admin_proportion_phc","admin_number_shf","admin_number_thf","admin_number_shf_thf","admin_proportion_shf_thf","admin_number_total_hf","admin_proportion_total_hf","prev_u5_state","itn_campaign_eligable","itn_campaign_net_quantity","itn_campaign_net_proportion","itn_campaign_bale_quantity","itn_campaign_bale_proportion","itn_routine_eligable","itn_routine_net_quantity","itn_routine_net_quantity_eligable","itn_routine_net_proportion","lsm_bti_kg_quantity","lsm_bti_kg_proprotion","smc_eligable","smc_spaq_quantity_3_11_months","smc_spaq_quantity_12_59_months","smc_sqaq_quantity","pmc_eligable","pmc_sp_quantity_u1","pmc_sp_quantity_1_2_years","pmc_sp_total_quantity","iptp_sp_total_quantity","vacc_total_dose_quantity","cm_rdt_kit_quantity","cm_act_packs_quantity","cm_iv_artesunate_quantity","cm_ras_quantity","itn_campaign_net_procurement_cost","itn_campaign_net_distribution_procurement_cost","itn_campaign_campaign_cost","itn_campaign_storage_hardware_cost","itn_campaign_total_cost","itn_routine_net_procurement_cost","itn_routine_net_operational_cost","itn_routine_total_cost","irs_total_cost","lsm_bti_procurement_cost","lsm_operational_cost","lsm_total_cost","ento_surveillance_equipment_procurement_cost","ento_surveillance_total_cost","smc_spaq_3_11_months_procurement_cost","smc_spaq_12_59_months_procurement_cost","smc_spaq_total_procurement_cost","smc_campaign_cost","smc_total_cost","pmc_cost_per_child","pmc_total_cost","iptp_sp_procurement_cost","iptp_sp_distribution_cost","iptp_total_cost","vacc_procurement_cost","vacc_operational_cost","vacc_total_cost","cm_rdt_kits_procurement_cost","cm_rdt_kits_distribution_cost","cm_rdt_kits_total_cost","cm_al_procurement_cost","cm_al_distribution_cost","cm_al_total_cost","cm_iv_artesunate_procurement_cost","cm_iv_artesunate_distribution_cost","cm_iv_artesunate_total_cost","cm_ras_prcurement_cost","cm_ras_distribution_cost","cm_ras_total_cost","cm_eqa_national_cost","cm_public_total_cost","cm_private_total_cost","gf_wd_malaria_long_haul_distribution","gf_wd_malaria_warehouse_axial","gf_wd_malaria_warehouse_wib","gf_wd_total_cost","ss_sbc_total_cost","me_national_level_cost","me_state_level_cost","me_total_cost","cb_national_level_cost","cb_state_level_cost","cb_shf_thf_level_cost","cb_lga_phc_level_cost","cb_total_cost","gc_national_level_cost","gc_state_level_cost","gc_lga_level_cost","gc_total_cost","rm_total_cost","cost_total_ngn","cost_total_usd"
1,1,1,"Ado","X",NA,"X","X","X",NA,"X",NA,NA,NA,NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+PMC",184389,3.04,325721.299888227,18.4,59932.7191794338,56936.0832204621,0,16286.0649944114,76218.7841738451,13028.8519955291,13028.8519955291,26057.7039910582,10423.0815964233,NA,NA,1,0.00129198966408269,10,0.00113623451880468,NA,NA,NA,31,0.00113590560990803,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,1,26833.0777731427,26833.0777731427,0.00159055979582606,NA,NA,0,0,0,0,1,99670.7177657975,199341.435531595,299012.153297392,39461.026113259,37473.0629554609,95840.09841095,74458.7132322799,7213.18960540973,577.098516928003,0,0,0,NA,0,189763529.540328,11617649.5686907,201381179.109019,0,NA,NA,NA,NA,NA,0,0,0,0,0,136333907.556092,136333907.556092,26517809.7394149,0,26517809.7394149,239827599.884422,14043731.0213905,253871330.905812,52137013.6601097,0,52137013.6601097,51227594.8296422,0,51227594.8296422,17196244.4478169,0,17196244.4478169,710985.385408367,0,710985.385408367,NA,121271838.322977,165422814.922832,315680,455520,1401280,2172480,16961436.2004318,NA,4681778,4681778,NA,NA,NA,15489708,15489708,NA,0,1440000,1440000,NA,943371802.756579,589607.376722862
1,1,2,"Agatu","X","X",NA,"X","X",NA,"X",NA,NA,NA,NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+SMC",115597,3.04,204200.929031446,18.4,37572.9709417861,35694.3223946968,35694.3223946968,10210.0464515723,47783.0173933585,8168.03716125786,8168.03716125786,16336.0743225157,6534.42972900629,NA,NA,1,0.00129198966408269,10,0.00113623451880468,NA,NA,NA,53,0.00194203217177824,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,1,16822.1710153099,16822.1710153099,0.000997152437065684,NA,NA,1,29757.7929858946,127297.225550771,157055.018536666,0,0,0,0,24738.8739871381,23492.5817617234,60083.9955529375,46679.5951684312,4522.08688596689,361.794126880272,0,0,0,NA,0,118966395.632458,7283327.29822243,126249722.93068,0,NA,NA,NA,NA,NA,13807615.6159752,63139423.9705995,76947039.5865746,75957517.3743507,152904556.960925,0,0,16624523.4392895,0,16624523.4392895,150352521.375134,8804284.28420173,159156805.659335,32685693.6588826,0,32685693.6588826,32115561.5547682,0,32115561.5547682,10780655.4047925,0,10780655.4047925,445730.372186253,0,445730.372186253,NA,76027640.9906295,103706734.873743,315680,455520,1401280,2172480,16961436.2004318,NA,4681778,4681778,NA,NA,NA,26482404,26482404,NA,0,1440000,1440000,NA,684235603.055035,427647.251909397
1,1,3,"Apa","X","X",NA,"X","X",NA,"X",NA,NA,NA,NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+SMC",96780,3.04,170960.889224317,18.4,31456.8036172744,29883.9634364106,29883.9634364106,8548.04446121586,40004.8480784902,6838.43556897269,6838.43556897269,13676.8711379454,5470.74845517815,NA,NA,1,0.00129198966408269,11,0.00124985797068515,NA,NA,NA,45,0.00164889524018907,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,1,14083.840505045,14083.840505045,0.000834834925294055,NA,NA,1,24913.7884648813,106575.650655326,131489.439120207,0,0,0,0,20711.85432559,19668.4348460565,50303.4602075598,39081.0420720327,3785.97687503893,302.900902267989,0,0,0,NA,0,99600921.9037629,6097739.69845209,105698661.602215,0,NA,NA,NA,NA,NA,11559997.5718581,52861522.8066007,64421520.3784587,63593073.6220634,128014594.000522,0,0,13918366.2072064,0,13918366.2072064,125877981.424132,7371113.72289111,133249095.147023,27365082.4182864,0,27365082.4182864,26887757.0116047,0,26887757.0116047,9025769.09500956,0,9025769.09500956,373173.918182873,0,373173.918182873,NA,63651782.4430835,86825244.6091234,347248,501072,1541408,2389728,18657579.8204749,NA,4681778,4681778,NA,NA,NA,22485060,22485060,NA,0,1440000,1440000,NA,578622161.829649,361638.851143531
1,1,4,"Buruku","X",NA,"X","X","X",NA,"X",NA,NA,NA,NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+PMC",206215,3.04,364276.707701928,18.4,67026.9142171547,63675.5685062969,0,18213.8353850964,85240.7496022511,14571.0683080771,14571.0683080771,29142.1366161542,11656.8546464617,NA,NA,1,0.00129198966408269,13,0.00147710487444609,NA,NA,NA,40,0.00146568465794584,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,1,30009.2908632761,30009.2908632761,0.00177883327257195,NA,NA,0,0,0,0,1,111468.67255679,222937.34511358,334406.01767037,44132.0008240498,41908.7238249591,107184.625405062,83272.3402653878,8067.00993269429,645.409274242543,0,0,0,NA,0,212225708.931437,12992822.8137663,225218531.745203,0,NA,NA,NA,NA,NA,0,0,0,0,0,152471659.083131,152471659.083131,29656704.7677109,0,29656704.7677109,268215829.090488,15706077.8711096,283921906.961598,58308436.3596501,0,58308436.3596501,57291370.2433153,0,57291370.2433153,19231752.1587869,0,19231752.1587869,795144.239905778,0,795144.239905778,NA,135626703.001658,185003800.548361,410384,592176,1821664,2824224,22049867.0605613,NA,4681778,4681778,NA,NA,NA,19986720,19986720,NA,0,1440000,1440000,NA,1060057671.16822,662536.04448014
1,1,5,"Gboko","X",NA,"X","X","X",NA,"X",NA,NA,NA,NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+PMC",361325,3.04,638276.950805708,18.4,117442.95894825,111570.811000838,0,31913.8475402854,149356.806488536,25531.0780322283,25531.0780322283,51062.1560644566,20424.8624257826,NA,NA,1,0.00129198966408269,17,0.00193159868196796,NA,NA,NA,47,0.00172217947308637,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,1,52581.563034567,52581.563034567,0.00311682919386107,NA,NA,0,0,0,0,1,195312.746946547,390625.493893093,585938.24083964,77327.0382743728,73431.4653931738,187806.341800956,145907.8066406,14134.8222191924,1130.87072238046,0,0,0,NA,0,371856820.695155,22765713.9547758,394622534.649931,0,NA,NA,NA,NA,NA,0,0,0,0,0,267157201.067878,267157201.067878,51963770.0952556,0,51963770.0952556,469961372.57775,27519814.6923293,497481187.270079,102166650.183792,0,102166650.183792,100384571.215314,0,100384571.215314,33697417.0102741,0,33697417.0102741,1393232.75457147,0,1393232.75457147,NA,237641871.163951,324159242.698817,536656,774384,2382176,3693216,28834441.540734,NA,4681778,4681778,NA,NA,NA,23484396,23484396,NA,0,1440000,1440000,NA,1831466422.48665,1144666.51405415
1,1,6,"Guma","X","X",NA,"X","X",NA,"X",NA,NA,NA,NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+SMC",194164,3.04,342988.738327654,18.4,63109.9278522883,59954.4314596738,59954.4314596738,17149.4369163827,80259.3647686709,13719.5495331061,13719.5495331061,27439.0990662123,10975.6396264849,NA,NA,1,0.00129198966408269,10,0.00113623451880468,NA,NA,NA,39,0.0014290425414972,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,1,28255.5776794954,28255.5776794954,0.00167488002102495,NA,NA,1,49983.0628590123,213816.435563553,263799.498422565,0,0,0,0,41552.9704822675,39459.6195851386,100920.862241585,78405.9873204605,7595.58187605972,607.692196610475,0,0,0,NA,0,199823449.065119,12233535.1395976,212056984.204717,0,NA,NA,NA,NA,NA,23192140.6131664,106052952.20315,129245092.816316,127583029.001388,256828121.817704,0,0,27923596.3655302,0,27923596.3655302,252541562.153702,14788230.2633956,267329792.417097,54900949.1905783,0,54900949.1905783,53943319.4089813,0,53943319.4089813,18107867.6437635,0,18107867.6437635,748676.799442647,0,748676.799442647,NA,127700813.042766,174192361.999234,315680,455520,1401280,2172480,16961436.2004318,NA,4681778,4681778,NA,NA,NA,19487052,19487052,NA,0,1440000,1440000,NA,1108601936.04748,692876.210029674
1,1,7,"Gwer East","X",NA,"X","X","X",NA,"X",NA,NA,NA,NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+PMC",168660,3.04,297936.180787077,18.4,54820.2572648222,52079.2444015811,0,14896.8090393539,69717.0663041761,11917.4472314831,11917.4472314831,23834.8944629662,9533.95778518647,NA,NA,1,0.00129198966408269,14,0.00159072832632655,NA,NA,NA,32,0.00117254772635667,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,1,24544.1262614269,24544.1262614269,0.00145487971171828,NA,NA,0,0,0,0,1,91168.4713208456,182336.942641691,273505.413962537,36094.8682636289,34276.4850293024,87664.6166419409,68107.1353158611,6597.88034453468,527.870078285999,0,0,0,NA,0,173576064.148467,10626625.1037501,184202689.252217,0,NA,NA,NA,NA,NA,0,0,0,0,0,124704168.081667,124704168.081667,24255751.6481445,0,24255751.6481445,219369501.415522,12845753.6733087,232215255.08883,47689551.5671439,0,47689551.5671439,46857709.2124121,0,46857709.2124121,15729347.1333366,0,15729347.1333366,650335.947930599,0,650335.947930599,NA,110926943.860823,151311694.108026,441952,637728,1961792,3041472,23746010.6806045,NA,4681778,4681778,NA,NA,NA,15989376,15989376,NA,0,1440000,1440000,NA,873473666.720312,545921.041700195
1,1,8,"Gwer West","X","X",NA,"X","X",NA,"X",NA,NA,NA,NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+SMC",122313,3.04,216064.674971005,18.4,39755.900194665,37768.1051849317,37768.1051849317,10803.2337485503,50559.1339432153,8642.58699884022,8642.58699884022,17285.1739976804,6914.06959907217,NA,NA,1,0.00129198966408269,15,0.00170435177820702,NA,NA,NA,39,0.0014290425414972,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,1,17799.5121274393,17799.5121274393,0.00105508539179057,NA,NA,1,31486.6729541747,134692.989859525,166179.6628137,0,0,0,0,26176.162824198,24857.4630225843,63574.7791730447,49391.6046596047,4784.81286956641,382.813784450346,0,0,0,NA,0,125878152.105962,7706476.91399846,133584629.01996,0,NA,NA,NA,NA,NA,14609815.9021148,66807723.073401,81417538.9755158,80370527.1123728,161788066.087889,0,0,17590381.5447617,0,17590381.5447617,159087761.334262,9315799.05753234,168403560.391795,34584679.9527575,0,34584679.9527575,33981424.0892788,0,33981424.0892788,11406994.1653018,0,11406994.1653018,471626.590769805,0,471626.590769805,NA,80444724.7981078,109731929.570941,473520,683280,2101920,3258720,25442154.3006477,NA,4681778,4681778,NA,NA,NA,19487052,19487052,NA,0,1440000,1440000,NA,722594275.714102,451621.422321314
1,1,9,"Katsina-Ala","X",NA,"X","X","X",NA,"X",NA,NA,NA,NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+PMC",225471,3.04,398292.236560198,18.4,73285.7715270765,69621.4829507227,0,19914.6118280099,93200.3833550864,15931.6894624079,15931.6894624079,31863.3789248159,12745.3515699264,NA,NA,1,0.00129198966408269,12,0.00136348142256562,NA,NA,NA,73,0.00267487450075116,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,1,32811.5065355756,32811.5065355756,0.00194493764663129,NA,NA,0,0,0,0,1,121877.424387421,243754.848774841,365632.273162262,48252.9707237559,45822.0879641992,117193.340322987,91048.1673591992,8820.29336631435,705.676475875859,0,0,0,NA,0,232042978.534442,14206070.1338055,246249048.668248,0,NA,NA,NA,NA,NA,0,0,0,0,0,166709198.870755,166709198.870755,32425996.5602917,0,32425996.5602917,293261359.265143,17172684.2551558,310434043.520299,63753177.2880085,0,63753177.2880085,62641139.2969985,0,62641139.2969985,21027579.9092881,0,21027579.9092881,869393.433628958,0,869393.433628958,NA,148291289.927924,202279135.433598,378816,546624,1681536,2606976,20353723.4405181,NA,4681778,4681778,NA,NA,NA,36475764,36475764,NA,0,1440000,1440000,NA,1169339978.42163,730837.486513521
1,1,10,"Konshisha","X",NA,"X","X","X",NA,"X",NA,NA,NA,NA,NA,NA,"X",NA,NA,6,"CM+IPTp+LLIN+PMC",226492,3.04,400095.822713309,18.4,73617.6313792488,69936.7498102864,0,20004.7911356654,93622.4225149143,16003.8329085324,16003.8329085324,32007.6658170647,12803.0663268259,NA,NA,1,0.00129198966408269,11,0.00124985797068515,NA,NA,NA,49,0.00179546370598366,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,1,32960.0868326995,32960.0868326995,0.00195374490493595,NA,NA,0,0,0,0,1,122429.321750273,244858.643500545,367287.965250818,48471.4745806109,46029.5840582044,117724.026754811,91460.4606424761,8860.23428788301,708.871989630929,0,0,0,NA,0,233093738.415241,14270399.4604444,247364137.875686,0,NA,NA,NA,NA,NA,0,0,0,0,0,167464107.892523,167464107.892523,32572831.1531575,0,32572831.1531575,294589334.249996,17250447.2961878,311839781.546184,64041870.7076104,0,64041870.7076104,62924797.0765898,0,62924797.0765898,21122799.0686806,0,21122799.0686806,873330.306644712,0,873330.306644712,NA,148962797.159525,203195115.747154,347248,501072,1541408,2389728,18657579.8204749,NA,4681778,4681778,NA,NA,NA,24483732,24483732,NA,0,1440000,1440000,NA,1160661861.1947,725413.66324669
