"","state","lga","year","prev_u5"
"1","Abia","Aba North",2018,0.236810571271235
"2","Abia","Aba North",2019,0.239432318885306
"3","Abia","Aba North",2020,0.271454416903397
"4","Abia","Aba North",2021,0.199816639331325
"5","Abia","Aba South",2018,0.285771864673715
"6","Abia","Aba South",2019,0.27249070122114
"7","Abia","Aba South",2020,0.305957739105152
"8","Abia","Aba South",2021,0.241954489228555
"9","Abia","Arochukwu",2018,0.406905021508889
"10","Abia","Arochukwu",2019,0.381804026628628
"11","Abia","Arochukwu",2020,0.400366753273249
"12","Abia","Arochukwu",2021,0.37547267286662
"13","Abia","Bende",2018,0.3755051208581
"14","Abia","Bende",2019,0.372336087454966
"15","Abia","Bende",2020,0.395918490074788
"16","Abia","Bende",2021,0.313779049210697
"17","Abia","Ikwuano",2018,0.385585663997289
"18","Abia","Ikwuano",2019,0.374301324135869
"19","Abia","Ikwuano",2020,0.402909458692914
"20","Abia","Ikwuano",2021,0.347094639153141
"21","Abia","Isiala Ngwa North",2018,0.395631664964049
"22","Abia","Isiala Ngwa North",2019,0.382129063832373
"23","Abia","Isiala Ngwa North",2020,0.405391486684656
"24","Abia","Isiala Ngwa North",2021,0.36839743015953
"25","Abia","Isiala Ngwa South",2018,0.363785889297607
"26","Abia","Isiala Ngwa South",2019,0.370324537135272
"27","Abia","Isiala Ngwa South",2020,0.394349745021115
"28","Abia","Isiala Ngwa South",2021,0.339175010900991
"29","Abia","Isuikwato",2018,0.353286759202351
"30","Abia","Isuikwato",2019,0.366729058585477
"31","Abia","Isuikwato",2020,0.388526275660322
"32","Abia","Isuikwato",2021,0.314910962925544
"33","Abia","Obi Nwa",2018,0.397890389890746
"34","Abia","Obi Nwa",2019,0.364103619767954
"35","Abia","Obi Nwa",2020,0.389955852898122
"36","Abia","Obi Nwa",2021,0.367133148417789
"37","Abia","Ohafia",2018,0.36202667536154
"38","Abia","Ohafia",2019,0.360138623517363
"39","Abia","Ohafia",2020,0.381293877869617
"40","Abia","Ohafia",2021,0.303088206175808
"41","Abia","Osisioma Ngwa",2018,0.311616519174823
"42","Abia","Osisioma Ngwa",2019,0.316321457953574
"43","Abia","Osisioma Ngwa",2020,0.343682778641217
"44","Abia","Osisioma Ngwa",2021,0.297923100873195
"45","Abia","Ugwunagbo",2018,0.381745562897503
"46","Abia","Ugwunagbo",2019,0.362772451333455
